stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,1.01,0,0,0,0
 24-34,0,0,0,15.73,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,0.67,6.52,0,0,0,94.4,0,2.75,0,2.57,0,0
 36-46,0,0,0,45.22,0,3.57,0,0,0,0,3.47,3.55,0,0,0,0,0,0,0,0,11.12,0,0,0,94.07,0,2.76,0,0,0,0
 48-58,0,0,0,13.61,0.43,21.82,0,0,0,0,13.41,3.87,0,0,0,7.92,0,0,0,0,39.3,0,0,0,48.17,0,13.26,0,4.14,0,0
 60-70,0,0,0,10.31,0,16.61,0,3.45,0,0,22.12,4,0,0,0,0,0,0,0,0,14.47,7.16,0,0,47.26,0,10.58,0,0,0,0
 72-82,0,0,0,1.24,0,87.08,0,2.54,0,5.97,40.65,4.62,5.69,0,9.31,6.34,0.59,0,0,1.29,29.21,1.76,0,0,43.23,0,98.13,0,0,1.04,0
 84-94,0,0,0,16.33,0,194.47,2.21,2.47,0,1.81,54.56,5.7,0,1.07,0,0.96,1.53,0,0,0,33.95,0,0,0,92.74,2.8,281.92,1.18,4.16,0.78,0
 96-106,0,1.57,0,7.27,10.28,350.07,0,4.16,0,30.84,30,1.32,0,0.9,0,0,18.42,0.81,2.51,0,23.88,0,0,0,66.54,0,363.66,0,0,1.64,4.24
108-118,0,0,0,11.26,0,456.96,0,9.28,0.6,22.42,22.06,0,0,2.76,0.63,1.19,9.31,0,0,3.09,19.03,0,2.26,1.03,68.83,0,397.65,3.18,5.53,0.8,0
120,0,0,0,18.6,1.71,208.73,0,1.4,0,18.52,3.89,0,0,0,11.53,0,0,0,0,1.82,34.66,3.44,2.49,0,57.68,0,245.68,0,0,4.93,0
