stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0.85,0,0,0,0,0,10.24
 24-34,0.6,0,1.45,0,0,0,0,6.53,1.91,0,0,0,0,26.2,0,0,0,0,0,103.94
 36-46,3.34,0,1.56,4.15,0,0,0,0,2.78,0,0,0,0,13.31,0,0,0,0,0,62.96
 48-58,0,0,0,0,0,0.69,0,4.53,11.95,3.07,0.92,0,0,11.14,0.88,0,0,0,3.06,48.17
 60-70,0,0,3.93,0,0,0,0,3.95,5.24,0,5.11,0,1.33,23.12,0,0,0,0,0,31.69
 72-82,1.93,0,0.51,0,5.52,0,0,10.82,6.26,0,7.39,0,0,8.92,0,0,0.9,0,0,76.38
 84-94,0,0,3.1,0,0,0,0,5.67,13,0,7.29,0,0,0.88,0,0.88,0,0,0,77.96
 96-106,0,0,1.51,0,0,0,0,10.15,20.35,0,19.16,0,0,13.13,0,0,0,0,0,72.26
108-118,6.06,0.79,0,0,0,2.13,0,14.19,20.05,0,8.85,0,0,0.54,0,0,0,0.56,0,79.5
120,0,1.84,8.7,0,0,0,5.64,6.79,42.91,0,17.62,4.71,7.32,24.74,0,0,0,0,0,104.18
