stage,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,spinal_cord
  7-9,0,6.2,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0
 10-12,0,4.7,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,5.21,2.28,0,0,0,3.79
 24-34,0,0,0.69,0,0,0,0,0,0.88,0,0,3.7,0,0,0,4.29
 36-46,0,0,0,1.15,0,0.87,0,0,0,0,1.08,6.91,0,0,0,8.31
 48-58,0,0,0,4.53,0,0,0,0,0,0,0,15.17,0,0,0,0
 60-70,0,0,0,1.19,0,0,0,0,0,0,0,9.15,0.59,0,0,3.37
 72-82,0,0,0,7.71,0,0,0,0,2.37,0.68,0,2.01,0,0,0,0
 84-94,0,0,0,0.86,0,0,0,0,0,0,0,4.04,0,0,0,0
 96-106,0,0,0,0,1.54,0,0,0,0,0,0.58,10.85,0,0,0,0
108-118,0.75,0,0,0,0,0,0.82,0.84,0,0,0,2.61,0,0.47,0.59,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0
