stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.71,17.01,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.73,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.44,0,8.32,0,0,17.05,0,0,0,0,5.17,0,0,0,0,0,0,0,0,106.9,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.23,8.75,10.05,0,0,0,0,0,0.89,0,0,0,0,6.2,0,6.66,56.76,0,0.81,0,0,0,1.99,0,0,1.02,44.92,0,0,2.61,0,0
 24-34,0,0,0,0,7.31,0,5.65,0,1.51,7.8,1.34,0,3.43,0,1.71,0.98,0.95,25.61,0,4.67,84.96,0.62,4.26,0,0,0,0,0,1.73,4.95,24.85,0,0,22.54,0,0
 36-46,0,0,0,0,3.74,0,5.48,0,1.36,36.57,0.61,0,6.39,0,0,0.61,0,34.09,0,1.75,67.25,0,0,0,0,0,0,0,0,0,13.4,0,0,41.34,0,0
 48-58,0,0,0,0,3.98,0,9.61,0,0,53.92,0,0,5.58,0,0,0.5,0,32.12,0.4,7.45,68.05,0,1.21,0,0,0.43,0,0,0,0,18.88,0,0.44,31.69,0,0
 60-70,0,0,0,0,7.74,0,13.11,0,6.28,44.22,0,0,0.75,5.21,0,4.6,0,75.77,0.6,8.14,80.89,0,0,0,8.44,0,0,0,0,0,10.34,0,0.73,33.19,1.13,0
 72-82,0,0,0,0,3.86,0,12.89,0,3.68,29.99,0,0,6.18,2.72,0,2.06,0,92.07,9.15,5.73,46.76,0,0,0,3.03,0,0,0,0,0,10.41,0,0,68.78,7.93,4.31
 84-94,0,0,0,0,2.97,0,6.77,0.64,5.77,9.54,0,0,1.58,0,0,0,0,97.14,3.42,10.74,12.56,0,4.03,0,0,0,0,0.62,0,0,16.33,0,2.76,62.32,3.88,0
 96-106,0,0,0.91,0,3.99,0,8.2,2.37,2.88,30.95,0,0,3.96,1.01,0,1.48,0,82.97,4.29,5.58,30.29,0,0,0,0,0,0,1.71,0,0,8.62,0.82,1.58,56.91,3.63,0
108-118,0,0,0,0,2.27,0,8.38,0.58,2.07,22.81,0,0,3.24,0,0,4.32,0,87.33,3.71,9.25,26.74,0,1.02,0,5.57,0,0,0,0,0,6.85,0,0,53.47,3.02,0
120,0,0,0,0,3.81,0,26.17,0,8.35,25.67,0,0,0,0,0,0,0,57.36,2.18,13.32,36.32,0,3.35,0,8.63,0,0,0,0,0,11.49,0,8,118.35,0,0
