stage,axial,epidermis,eye,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.61,6.41,0,5.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.3,914.38,0,0,0,1.26,0,0.95,0,0
 24-34,0,0,0,0.67,0.66,0,10.97,0,0,9.83,696.47,0,0,5.66,0,0.64,3.3,1.06,0
 36-46,0,0.61,2.24,0,0,0,0,0,0.6,4.32,613.39,0.81,0,0,0,0,3.38,6.52,0
 48-58,0,0,0.91,0,0,0,6.87,0,1.38,19.11,298.21,0.42,0,0,0,0,4.58,1.4,0.54
 60-70,0.64,0,10.76,0,0,0,0,0,0,1.32,161.96,0,0,4.8,0,0,0,3.52,0
 72-82,0,2.21,60.28,0,0,0,0,0.77,0,2.02,97.65,0,0,0,0,0,0,0,0
 84-94,1.23,0,60.02,0.64,0,0,0,1.27,0,4.25,130.96,0,0,0,0,0,2.69,0,0
 96-106,0,0,89.89,0,0,1.93,0,0,0,1.84,87.35,0,0,0,0,0,0,0,0
108-118,0,0,63.82,0,0,0,0,2.61,0,1.27,82.27,0,0,1.83,0,0,0,0,0
120,2.82,0,79.85,0,0,0,0,3.29,0,6.39,122.98,0,0,0,0,0,0,0,0
