stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,14.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.65,0,0,0,0,0.95,0,6.45,0,0,0,5.19,1,0,1.09,0.86,1.52,1.83,2.19,5.83,0
 24-34,0,0,0,1.6,0,0,0.62,0,0,1.47,0,0,3.56,22.5,0,0,2.15,0,0,0.74,6.19,19.97,0
 36-46,0,0,0,1.48,1.66,0,0,0,14.67,0,0,0,0,5.03,0,0.63,0,0,0,0,0,10.35,0
 48-58,0,1.65,0,1.15,0,1.1,0,0,0,0,0,0,0,10.46,0,0,1.66,0,0,0,1.05,4.62,0
 60-70,0,0,0,7.81,0,0,0,0,0,0.62,0,0,0,4.29,0,0,3.97,0,0,0,0,2.42,0
 72-82,0,0,0,11.23,0,3.66,0,0,0,5.9,0,0,1.88,0.61,0,0,0,0,0,0,0,14.04,0
 84-94,0,0,0,4.44,0,0,0,0,0,3.96,0,0,0,3.86,0,0,0,0,0,0,0,9.16,0
 96-106,0,0,7.51,0,1.19,3.99,0,0,0,1.76,0,0,0,0,0,0,0.92,0,0.82,0,1.31,4.33,0
108-118,0,0,0,6.33,0,4.98,0,0,0,0,0,1.4,0.83,3.61,0,0,6.66,0,0,0,0,4.2,1.86
120,0,0,0,33.85,0,12.06,0,0,0,11.47,9.06,0,28.44,0,13.89,3.91,0,0,0,0,0,0,0
