stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,91.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0,0
  5-6,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0
 24-34,0,0.66,0.81,0,0.93,0,0,2.4,0,0,0.67,0,0,0,0,0,0,0,0,0.77,0,0,0,0,2.37,0.65,0,0,0,28.1,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,20.2,0
 48-58,0,0,0,0,0,0,0,0,0,0,5.43,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,1.31,0,0,15.87,0
 60-70,0,0,0,0,0.9,0,0,0,0,0,3.25,0,0,0,0,1.18,0,0,0,2.28,0,0,0,0,0.68,0,0,0,0,43.45,0
 72-82,0,0,0.5,0,0,0,0,2.71,3.03,0,21.97,0.83,0,0,0,6.23,0.66,0.52,0,5.59,4.97,0,0,0,0,0,0,1.35,0,208.7,0
 84-94,0,0,0,0,11.94,0,0,0,1.4,0,7.04,0.67,0,0,0,57.01,0,0,0,21.32,14.75,0.88,0,0,0.71,0,0,5.54,1.23,126.82,2.78
 96-106,0,2.76,0,0,9.94,1.06,1.52,1.03,52.69,0,13.48,0.57,0,0,0,40.48,3.18,0.98,0,45.38,46.32,0.71,4.35,0,0.9,0,0,8.03,0,191.9,0
108-118,0,0,0,0.65,12.64,0,0,0.86,81.52,0,2.12,0.79,0,0.43,1.08,91.33,6.65,8.54,1.08,26.87,38.79,0,0,0,4.08,0,0,25.75,0,172.47,0
120,0,1.58,0,0,18.42,0,0,0,88.38,0,9.97,18.97,2.21,0,0,80.7,0,0,0,38.69,19.95,0,1.09,0,2.78,0,0,37.62,0,230.44,0
