stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,29.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,11.28,0,0,0,0
 10-12,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,11.16,0,0,0,0,0,0
 14-21,0,0,0.9,0,1.34,0,0.83,0,0,0,0,0,0,1.23,0,5.87,0.93,0,0.99,0,2.65,0
 24-34,0,0,0.73,0,0.95,1.3,1.08,1.08,0,0,0,0,0,1.28,0,17.38,0,0,0,11.92,1.61,0
 36-46,0,0,0,0,0,1.57,0,0.83,0,0,0,0,0,2.13,0,10.58,0,0,0,7.91,1.67,0
 48-58,0,0,0,0,0,10.35,1.08,0.92,0,0,0,0.42,0,2.45,0,8.17,0,0,0,18.68,0.37,0
 60-70,0,0,0,0,4.35,0.88,0,0.62,0.61,0,0,0,0,2.01,0.63,2.94,0,0,0,0.79,0,0
 72-82,0,6.64,0,0,0,3,0,4.6,0.57,0,0,0,0,0,0,1.09,0,0,0,0,0,0.55
 84-94,0,1.96,0,0,0,2.65,0,5.68,3.19,0,0,0,0,0.59,1.12,0,0,0,0,0,0,0
 96-106,0,5.85,0,0,0,0,0,6.76,0.91,0,2.59,0,0,0,0,0,0,0,0,2.35,0,0
108-118,0,1,0.63,0.85,0.66,0,0.74,14.32,0,0.64,0,0,5.77,1.49,2.38,1.1,0,0,0,1.54,0,0
120,0,10.93,0,0,0,0,0,18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
