stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,59.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,6.3,0,0,0,0,0
  7-9,0,9.86,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,50.07,0,0,0,5.26,0,0,0,0,0,0
 10-12,4.07,12.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.51,12.21,0,0,20.04,7.82,3.64,0,0,0,0
 14-21,0,0,525.24,13.74,0.88,0,0,2.62,1.29,0,0,6.93,0,0,5.9,0,0,16.64,0,0,0,1.45,10.67,0,0,0,2.48,0
 24-34,0,0,10.78,2.05,0,0.82,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,1.4,0,9.7,0,0.63,0,2.08,0
 36-46,0,0,13.06,0,0,0,0,0,0,0,0,0,0,0,0.84,1.26,0,2.38,0,0.56,0,0,5.54,0,1.08,0,3.09,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0.49,0,2.82,0,0,0,0,6.66,0,0,0,3.05,0
 60-70,0,0,0,0,0,0,2.5,0,0,0.62,0,0,0,0,4.49,0,0.66,1.72,0,0,0,0,1.94,0,0,0,0,0
 72-82,0,0,6.59,0,0,0,9.68,0.72,0,0,0.6,0,0,0,3.34,0,0,11.53,0,0,0,0,2.57,0,2.77,0,8.01,0
 84-94,0,0,4.24,0,0,0,0,0.71,0,0,1.23,0,0,0,8.05,0,1.27,3.01,0.72,0,0,0,10.63,0,0,4.84,1.43,0
 96-106,0,0,3.69,0,5.76,1.02,25.62,3.98,0,1.98,2.06,1.23,0,0,2.77,0.97,1.88,5.63,0,0,3.4,0,4.45,0,0,0,2.55,2.95
108-118,0,0,6.49,0,0,0,25.01,2.39,0,0,7.19,1,2.36,0.57,4.29,0.59,1.08,1.7,0,0,1.23,0,8.16,0,1,1.16,1.16,1.44
120,0,0,14.37,0,0,0,7.84,1,0,0,5.06,0,1.17,0,8.8,0,0,0,0,0,0,0,4.33,0,0,0,15.6,0
