stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,243.21,6907.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.33,0,0,0,0,0,0,0,0,0,0
  5-6,406.38,5036.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.25,17.75,0,0,43.95,0,120.13,0,0,0,0,0,0,0,0,0,0
  7-9,185.49,169.52,297.5,0,0,0,315.43,0,0,0,0,0,302.87,0,0,0,0,0,0,0,0,0,0,0,4233.45,162.91,0,0,1648.19,0,139.68,42.82,0,0,0,0,0,0,0,0,0
 10-12,0,172.68,439.86,0,45.62,0,317.33,0,0,0,0,0,96.32,0,0,0,0,0,0,0,0,0,0,7.75,6107.87,106.2,0,0,1974.41,0,82.72,6.8,0,197.28,5.74,7.62,0,0,0,0,0
 14-21,0.89,0,19.04,360.62,70.33,0,76.01,0,0,0,35.93,8.04,2.79,2.02,0,13.01,0,0,0,0,207.9,1.24,0,205.25,1572.29,112.4,11.27,20.56,89.7,0,527.39,0,110.72,6.64,148.13,443.62,0,0,17.2,0,9.35
 24-34,4.02,0,13.34,147.24,11.38,0,382.34,0,1.44,2.31,56.14,3.95,0,12.93,2.82,1.83,2.83,4.39,0.65,0,707.47,12.92,6.43,297.93,3490.26,39.48,29.07,30.47,0,0,1375.05,0,0,5.99,12.49,751.63,0,0,150.57,0,31.65
 36-46,0,0,0,82.66,10.75,0,820.44,0,8.95,3.79,76.25,0.95,0,11.44,1.09,2.38,2.53,5.62,0,0,592.27,7.76,12.09,191.04,2028.85,12.18,16.34,6.02,0,0,576.2,0,8.18,2.98,0,449.41,0,0,92.71,0,24.16
 48-58,0,0,0,68.86,4.87,0,997.29,0.42,3.38,13.27,81.16,4.16,0,12.4,3.16,0.75,18.41,2.25,5.99,0,590.18,1.74,26.77,120.67,1107.97,15.02,6.4,10.57,0,0,229.26,0,0,1.22,0,166.2,0,0,41.49,0.65,20.23
 60-70,0,0,0,82.16,0,0,615.31,0,10.16,5.51,114.47,16.42,0,3.39,7.22,0.71,9.8,4.46,7.65,4.38,398.29,0.74,58.81,69.62,633.04,15.3,5.33,12.21,0,2.15,92.56,0,0,1.28,0,37.55,0,0,24.57,1.79,7.86
 72-82,0,0,0,69.49,0.59,0,212.04,0,0.8,8.88,73,17.7,0,7.27,6.01,2.77,8.29,0.68,4.55,9,322,0,20.88,56.67,380.99,1.12,9.18,6.54,0,0,51.56,0,0,1.9,0,7.55,1.38,0,49.87,1.11,8.52
 84-94,0,0,0,88.17,8.2,0.89,236.03,0,2.31,3.99,59.75,47.71,0,2.25,2.78,2.38,5.03,2.23,16.75,0,295.46,2.53,25.97,44.05,317.31,8.28,5.23,12.24,0,3.03,70.43,0,0,9.33,0,15.01,4.37,0.98,45.41,4.58,0
 96-106,0,0,0.66,59.5,14.53,2.28,164.21,0,0.91,0.72,57.79,46.21,0,5.74,6.95,0,5.21,0.81,18.71,0,147.04,0,13.97,13.02,273.35,5.91,3.19,16.41,0,3.71,69.29,0.93,0,3.79,0,1.1,2.76,0,27.05,7.46,0
108-118,0,0,0,47.28,3.52,0.98,155.07,0,0,2.45,48.59,21.99,0,1.96,9.6,0,12,2.83,17.44,4.85,116.23,1.11,14.16,22.27,263.99,5.17,8.57,7.25,0,8.07,52.93,0,0,8.26,0,10.35,4.91,3.08,35.91,0,3
120,0,0,0,22.17,4.85,0,164.24,0,14.97,1.44,61.24,16.09,0,11.91,14.73,6.45,6.36,1.11,2.62,0,108.84,0,6.92,10.28,249.09,10.43,8.55,5.45,0,2.76,30.25,0,0,0,0,2.54,0,0,31.48,3.44,0
