stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,25.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.34,0,0,5.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.58,0,0,0,14.87,0,0,0,8.95,0,0,0,0,0,0,0
 14-21,0,0,2.45,0,32.72,0,0,0,0,0,0,0,0,97.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.89,0,0,0,6.18,0,0
 24-34,0,0,0,2.17,34.41,0,0,0,0,0,0,0,0,142.04,0,0,0,0,0,5.35,0,0,1.01,7.82,0,0,0,0,0,0,0,0,0,1.75,0,0,7.52,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,140.68,0,0,0,0,0,5.44,0,0,0,2.47,0,1.74,0,0,0,0,0,0,0,1.72,0,0,1.39,0,0
 48-58,0,0,0,0,0.81,0,0.38,0,0,0,0.93,0,0,60.47,0,0,0,0,0,1.24,0,0,0,46.25,0,1.29,0,0,0,0,0,0,0,0,0,0,1.3,0,0
 60-70,7.66,0,0.57,0,5.82,101.56,5.58,0,0,0,0,78.13,0,24.8,0,1.14,0,0,0,2.97,0,0,0,165.51,0,0,0,0,0,4.06,0,0,0,0,0,0,1.02,0,0
 72-82,0,0,0.76,10.36,18.45,1255.87,37.27,0,0,2.43,0.57,39.69,0,57.17,0,0.57,0,1.68,0,25.2,2.9,0,4.34,314.1,0,9.98,0,0,0,0.74,0,0,0,5.69,0,2.24,1.21,0,9.66
 84-94,0,0,0.66,6.91,33.58,2891.96,61.04,0.64,0.68,0.87,7.99,93.43,0,30.42,1.41,0.62,0,8.96,3.81,23.69,0.65,0,0,541.95,0,0.8,0,0,0,17.9,0,0,0,4.05,0,1.96,0,0,20.83
 96-106,0,0,2.14,37.4,60.61,5219.48,199.15,3.55,2.93,2.25,31.55,86.85,2.78,60.95,1.22,6.49,2.46,44.46,0,77.12,2.07,0.84,8.8,463.3,1.13,1.12,5.34,0,0,43.82,0,0,0,13.01,1.23,1.3,29.94,2.27,0
108-118,0,0,3.12,73.5,33.81,11139.82,220.59,2.72,5.04,4.47,69.37,221.84,0,39.95,13.24,4.48,6.58,12.45,15.94,114.62,0.6,0,7.49,605.62,3.9,3.86,0.43,8.11,1.83,41.79,0,0.47,0.44,9.61,3.84,0,28.8,6.1,18.96
120,0,0,0,7.69,29.98,3582.43,211.95,0,0,0,11.39,97.27,0,89.24,0,3.65,0,18.05,1.61,100.9,0,0,12.44,565.19,1.29,0,0,0,0,19.38,0,12.14,0,1.19,0,5.4,31.5,4.69,3.85
