stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,gut,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,45.29,616.14,0,0,0,0,0,0,0,0,0,0,0,36.14,0,0,0,0,0
  5-6,0,169.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,24.26,5.2,0,0,0,0,0,0
 10-12,0,14.27,0,8.78,0,0,4.68,0,0,0,0,22.34,12.39,0,5.62,0,0,3.87,0
 14-21,0,0,0,0,1.13,0.81,0,0,0,0,0,6.2,0,0,0,2.83,1.1,2.55,2.11
 24-34,0,0,0,0,0,0,0,0.8,0,0,0,12.81,0,0,0,0,0,2.14,3.22
 36-46,0,0,0,0,0,0,0,0,1.58,0,0,9.13,0,0,0,0,0,0,1.27
 48-58,0,0,0,0,0,0,0.73,0,0,0.5,0,24.37,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,14.15,0,0,0.7,0,35.24,0,0,0,0,0,0,2
 72-82,0,0,0,0,0.71,0,8.78,0,0,0,0,13.72,0,0,0,0,0,0,0
 84-94,0,0,1.29,0,0,0,3.28,0,0,0,0,13.66,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,8.8,0,0,0,0,1.83,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,8.13,0,0,0,0,17.17,0,0,0,0,0,0,2.59
120,0,0,0,0,0,0,2.87,0,0,10.91,1.01,8.92,0,0,0,0,0,0,0
