stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4.78,72.98,4.55,0,15.16,0,0.87,0,3.41,5.67,5.07,0.81,0,0.86,0,0,0,0,19.82,0.95,0,11.03,160.12,1.9,0,6.72,5.58,0,4.95,7.67,0,0,0.87,53.72,0,0,7.75,0,0
 24-34,0,0.64,25.13,1.71,0,5.53,0,2.78,2.02,6.19,1.57,0,2.07,0,1.01,0,0.65,0,0.69,21.33,1.3,0,9.59,182.37,0.73,0,1.9,0,0,10.82,0,0.79,0,1.25,48.32,0,0,11.1,0,0
 36-46,0,0,8.18,2.92,0,7.48,0,1.71,1.13,7.62,0.56,0.59,1.32,1.86,0,0,0,0,0,49.61,2.42,0,11.99,127.61,1.87,0.93,2.44,0,0,25.18,1.05,1.88,0,0,39.21,0,0,16.93,0,1.02
 48-58,0.42,0,7.88,0,0,5.44,0.53,3.01,1.18,3.87,0,0,2.56,0.87,2.26,0,0.76,0,6.79,71.91,4.5,1.74,14.38,56.27,1.06,2.16,1.55,0,0,19.65,0,0,0,0,34.96,0,0.42,7.41,0,6.8
 60-70,0,0,11.87,0,0,5.3,1.17,8.2,4.24,15.47,5.14,0,10.66,1.22,0,0,2.3,0,0,107.69,5.91,3.75,12.53,46.56,0,4.02,3.49,0,6.2,11.22,0,0,0,0,20.77,2.05,5.27,7.49,1.06,0
 72-82,0.62,0.56,8.79,0,0,20.82,0,13.71,9.01,35.6,1.92,0.52,2.54,1.7,1.44,0.75,1.38,0,0,162.37,3.53,7.12,18.47,31.04,0,3.3,3.63,0,1.67,6.19,0,0,0,0,4.07,0,1.88,36.11,4.72,5.69
 84-94,1.15,0,23.72,7.02,1.09,25.69,0,3.67,14.17,29.81,5.59,0,4.18,2.62,2.43,0,0.78,2.64,2.08,111.31,10,3.22,5.72,41.64,4.56,0.61,2.58,0,0,20.54,0,1.07,0,0,1.73,0.71,0,23.58,2.35,4.21
 96-106,3.63,0,30.84,5.48,0,15.18,4.56,8.33,6.36,30.76,11.99,0,5.78,4.36,3.01,2.18,0.92,1.52,1.26,147.91,6.87,12.49,11.01,45.75,1.32,8.82,3.71,0,2.5,23.32,0,3.85,0,0,3.26,2.8,0,27.72,3.39,1.51
108-118,1.45,0,29.78,0,1.11,25.77,0,5.35,6.41,44.15,12.52,0,3.99,2.1,0.51,3.09,5.92,1.08,7.72,202.81,1.47,11.27,13.49,42.4,0.96,1.47,3.25,0,1.08,27.12,0,0.52,0.47,0,7.56,4.87,6.98,28.54,3.49,7.71
120,0,0,27.25,0,0,31.88,0,10.37,0,40.3,3.36,0,1.61,0,0,0,5.57,6.02,0,173.32,0,0,17.63,26.26,4.72,0,2.45,0,7.24,11.26,0,0,0,0,3.71,3.99,4.13,20.58,7.69,0
