stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,53.53,1034.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,401.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,21.88,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,47.15,8.25,0,0,15.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,171.84,11.75,0,0,40.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.24,7.06,28.87,0,0,0,0,0,1.8,0.85,0,0.89,0,0,0,0,0,0,16.07,0,0,8.45,175.6,0,2.48,0,1.14,0,0,1.54,0.97,0,0,9.01,143.07,0,0,1.41,0,0
 24-34,0,0,3.77,2.25,0.67,0,8.32,8.76,6.59,3.83,4.89,0,0,0,0,0,0,0,0,0,25.78,0,0,9.58,1263.39,2.31,15.3,0,0,0,4.16,0,0,3.34,0,4.44,399.18,0,0,26.16,0,0
 36-46,0,0,2.41,5.16,0,0,61.92,0,0,8.07,9.92,0,0,1.55,2.68,0,0,0,0,0,39.71,0,0,20.57,2756.5,0.8,15.38,3.49,0,2.85,7.99,0,0,5.52,0,0.83,659.2,0,0,13.67,0,0
 48-58,0,0,0.39,23.44,2.93,0,449.3,0,0.88,13.74,49.67,0,0,1.27,1.72,4.95,2.03,0.51,0,4.83,81.63,0,1.07,11.91,3771.23,0,11.22,0,0,0,5.32,0,0,0.47,0,0,647.94,0,0,15.08,0,16.89
 60-70,0,0,12.39,14.43,0.67,0,1589.86,0,3.41,7.25,82.53,4.04,0,1.19,12.55,1.37,0,0,0,0,122.64,0,19.74,10.94,4360.51,0,10.16,0,0,0,8.37,0,0,2.54,0,0,605.36,0,5.4,15,0,2.09
 72-82,0,0,4.38,18.02,4.21,0,2041.98,0,2.85,28.13,159.67,0.56,0,1.68,2.05,1.11,0.65,4.11,6.81,0,203.85,0.83,12.92,7.99,3978.19,0,12.32,1.21,0,4.96,18.2,0,0,0,0.51,0,367.38,4.21,2.27,58.11,3.17,4.49
 84-94,0,0,8.28,34.8,25.12,0,1376.01,0,11.76,13.13,151.65,8.59,0,0.8,15.76,0,3.48,0.69,1.41,15.82,158.99,1.71,4.69,6.03,3081.87,0,8.13,1.22,0,0,7.61,0,0,0,0,0,288.65,0,8.85,41.65,9.17,12.82
 96-106,0,0,5.26,18,9.09,0,1301.59,6.03,0.69,8.31,201.88,5.47,0,3.52,4.22,0.56,1.48,0,17.17,14.17,153.97,3.88,5.44,5.7,2507.58,1.52,16,1.49,0,2.8,20.48,0,0,0,4.11,0,144.27,0.88,7.75,21.29,10.48,0
108-118,0,0,1.04,24.72,10.17,2.51,1262.78,1.72,2.46,18.86,218.64,1.6,0,2.89,6.55,0.81,3.98,0,7.34,3.18,233.09,0,6.1,12.37,2899.45,0.6,24.13,6.24,0,6.6,5.75,0,0,7.03,3.63,0,81.75,0.55,8.73,43.76,11.95,1.7
120,0,0,1.37,8.93,1.01,0,1079.88,0,1.62,21.57,324.64,0,0,2.63,13.63,0,1.91,0,0,1.79,180.55,0,10.83,28.82,4218.9,2.33,59.12,0,0,28.38,5.35,0,0,0,0,0,118.89,0,4.8,87.69,19.45,2.59
