stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,77.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.46,0,3.45,0,0,0,9.87,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0,130.44,3.96,0,0,18.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,17.37,0,0,0,0,0,0,0,0,0,0,0,40.81,15.57,0,0,16.07,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.05,1.12,0,16.86,0,0,0,0,0,0,1.52,0,0,0,0,0,2.1,3.94,0,0,4.21,265.41,6.45,0,0,2.96,0,0,0,0,1.86,4.87,0,0,0,0,4.43
 24-34,0,0,0,26.04,1.09,0,106.54,0,5.19,0.62,31.87,0,0,1.33,0,0.59,0,1.47,0.68,12.18,102.01,0,0,12.61,3301.15,13.25,3,6.83,0,0,4.65,0,1.29,6.14,326.06,0,0,8.28,0,9.77
 36-46,0,0,0,115.56,1.1,0,611.6,1.64,22.86,4.09,524.28,2.83,0,3.18,0.58,0,0,0.65,0,31.38,353.8,0.56,2.19,32.82,10001.45,16.54,2.24,14.73,0,0,48.06,1.06,4.46,0,1464,0,1.37,2.93,0,9.49
 48-58,0,0,2.88,147.21,4.18,0,1502.13,2.16,26.19,19.75,738.95,9.24,0,11.3,9.74,5.16,0.45,1.38,1.73,64.52,508.24,2.08,32.63,57.38,8116.21,17.76,3.95,26,0,3.94,247.04,4.05,7.96,0,1822.23,0,4.18,8.32,0,33.48
 60-70,0,0,0,198.73,3.9,0,1232.82,11.06,39.6,3.46,351.24,23.9,0,19.26,0,5.11,5.65,0,2.11,34.75,552.51,2.42,27.93,34.95,3206.32,17.86,1.4,21.56,0,0,384.41,1.01,7.87,0,595.89,1.21,14.36,2.36,4.11,80.76
 72-82,0,1.9,0,136.8,33.66,0,590.5,5.49,42.25,12.76,239.15,11.57,0,1.94,0,4.58,3.55,0.51,3.07,18.26,599.61,5.17,28.76,38.59,1467.95,12.64,0.79,19.13,0,1.67,553.43,0,2.68,0,177.8,7.03,8.12,5.42,13.73,52.97
 84-94,0,4.33,0,282.36,10.72,0,509.6,5.38,48.11,7.38,161.89,27.7,0,6.61,2.93,16.42,4.22,0,0,46.56,570.82,3.56,41.57,34.55,978.09,23.07,0,2.11,0,3.75,1208.53,1.12,0.63,0,124.17,7.76,8.03,5.36,20.58,25.38
 96-106,0,2.07,0,178.86,24.16,0,254.76,2.84,56.46,8.12,168.13,21.89,0,2.33,7.25,14.77,4.86,1.64,3.93,42.88,379.96,9.08,9.17,30,774.8,2.28,7.17,13.22,0,2.98,1214.95,0,1.26,0,27.55,8.81,5.25,2.13,6.17,47.72
108-118,0,4.13,1.06,260.79,13.99,0.59,266.92,2.23,74.78,7.94,174.53,31.98,0,0.43,2.11,26.42,12.87,0,23.06,52.88,330.56,18.08,7.34,30.96,1064.66,10.38,1.95,17.48,0,3.88,1100.56,1.48,0.97,0,18.87,8.34,3.48,0.83,6.33,42.61
120,0,0,0,192.64,30.44,0,341.76,0,57.94,30.62,208.77,18.5,0,0,7.66,1.48,0,3.65,2.27,12.82,360.82,10.11,64.03,15.03,1384.58,6.08,0,12.76,0,2.76,526.11,4.48,1.22,0,46.53,5.17,0,4.84,5.01,28.46
