stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,43.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.32,3.43,0,23.96,0,0,0,0
 10-12,9.71,0,8.11,0,0,0,4.59,0,0,0,0,0,0,0,0,8.13,0,0,8.7,0,0,0,0
 14-21,0,1.05,1.1,0,2.06,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.65,0,0.72,5.97,0,0,0,0,0,1.98,0,0,0,0,13.78,0,0,0,1.36,0,3.89,0
 36-46,0,0,0,0,0,0,3.81,0,0,0,0,0,0,1.61,0,7.2,0,0,0,1.21,1.48,0,0
 48-58,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0.64,0,1.32,0,0.82,0
 60-70,0,0,0,0,0,0,2.29,0,5.73,0,7.12,0,0,0,0,8.3,0,0,0,2.05,0,0,0.65
 72-82,0,0.57,0,3,0,0,1.48,0,1.28,0,7.2,0,1.81,0,0,14.59,0,0,0,0,0,0,0
 84-94,0,1.44,0,0,0,0,11.66,0.58,0,0,7.47,0,0,0,0,7.04,0,0,0,0,0,6.04,0
 96-106,0,0,0,0.79,0,0,2.94,0,0.91,0,25.93,0,0,0,0.9,13.13,0,0,0,1.02,0,1.22,0
108-118,0,0,0,0.49,0,0,0,0.45,6.02,3.14,36.17,0.5,0,0.67,0,21.75,0,0,0,0,0,0.42,0
120,0,0,0,0,0,3.13,0,0,0,0,63.06,0,0,0,2.53,53.78,0,0,0,0,0,1.15,0
