stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,73.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.99,33.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.74,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.79,0,0,0,37.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.27,4.01,2.87,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,95.04,0,0,66.19,28.48,51.96,0,0,4.04,0,0,17.17,1.46,71.91,48.91,0,0,4.4,0,0
 24-34,0,0,0,1.1,4.73,2.15,0,3.38,0.6,1.83,15.63,3.58,11.71,0,0,0,0,0.79,0,0,492.65,0,0,225.5,103.64,15.01,0.77,1,0,0,0.79,0.71,4.52,13.99,63.6,0,0,41.18,0,0
 36-46,0,0,0,0,0.67,1.22,0,3.16,3.13,10.55,159.12,17.01,0,0,0,0,0,0,0,0,821.97,0,3.61,182.73,78.52,6.59,1.18,0.62,0,3.24,0,3.78,4.62,0,49.66,0,0,41.7,0,0
 48-58,0.77,0,0,0,0,1.91,0,30.94,6.42,3.36,286.6,55.02,0,0.77,0,0,5.36,0.45,0,6.71,948.09,0,9.25,172.41,123.5,9.91,0,10.48,0,0,2.68,0,4.95,0,29.02,0,0.44,8.63,2.28,0
 60-70,0,0,0,0,0.68,0.6,0,31.97,2.12,20.33,279.35,162.29,0,0.9,0,0,0,0,0,0,1272.69,2.4,20.07,114.26,80.03,8.4,0,0.85,0,0,0,0,1.99,0,19.51,0,3.1,16.95,2.05,10.64
 72-82,0,0,0,0,3.59,2.03,0,97.66,0.79,5.01,468.49,275.36,0.75,4.62,0,0,0,3.28,0,0,2002.64,0,19.17,149.48,120.35,0.55,0,21.15,0,11.31,0,0,0,0,31.5,4.34,24.78,46.32,26.67,2.69
 84-94,0,0,0,0,5.21,0,0,111.59,1.22,0,288.33,208.24,0,0,0,0,0,0,0,0.72,1795.39,0,27.16,135.21,64.81,6.62,0,24.79,0,10.04,0,0,0,0,24.33,2.36,21.13,60.78,24.78,13.9
 96-106,0,0,1.07,1.07,6.41,8.03,1.06,75,4.33,13.24,331.66,316.23,2.76,2.95,5.65,0,0.95,7.77,4.79,0.67,1859.13,2.84,19.8,127.66,157.75,5.01,2.07,37.22,0,18.49,9.01,0,0,0,21.49,1.68,22.72,58.83,24.36,3.73
108-118,3.02,0,0,1.46,5.26,7.48,7.32,58.56,1.48,3.74,272.41,356.39,0,1.37,1.19,1.62,1.27,0.43,2.52,6.11,2060.82,1.15,30.32,139.98,112.3,3.29,1.3,38,0,27.02,0.5,0,0,0,23.39,1.01,27.38,62.51,17.73,13.66
120,2.82,0,0,0,3.32,0,0,60.93,0,0,391.2,375.95,0,3.06,1.79,0,5.85,9.45,5.66,0,1439.26,0,24.6,95.83,66.63,5.79,0,56.59,0,1.79,6.29,0,0,0,9.05,0,19.82,84.44,12.11,15.2
