stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0
 14-21,5.57,0,0,0,0,0,0,0,1.04,0.93,0,2.11,1.79,0,0,0,0.89,45.14,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.06,0,0,1.37,9.33,0.83,0,1.36,0,24.43,0,1.95,0,0,0
 36-46,0,0,0,0,0,0,0.78,0.74,1.66,0,0,0.63,26.41,0,0,0,0,17.79,0,0,0,0,0
 48-58,0,9.69,0,0,0.87,0,0,0,0,0,0,0,9.78,0,0,0,0,5.73,0.38,2.94,0,0.39,0
 60-70,0,12.42,0,1.67,0.72,0,0,0,0.69,0,1.73,0,1.88,0,0,0,0,0,0,0,0,0.67,0
 72-82,0,13.05,0,0,0.65,0.52,0,0,0,0,0,0.72,41.95,0,0.93,0,0,0,0,1.56,0,0,0.57
 84-94,2.1,14.2,0,0,0.74,0,0,0,0,0,0,0,8.23,0,0,0,0,0,0,2.81,0,0,0
 96-106,0,11.94,0,0,0,0,0,0,0,0,0,0,11.54,0,0,0,0,0,0,0,0.79,0,0
108-118,0,0,0.48,0,0,0,0,0,0.91,0,4.74,0,1.53,0,0,0.45,0,1.04,0.49,0,0,0,0
120,0,17.67,0,0,0,0,0,0,0,0,0,0,29.66,0,0,0,0,0,0,0,0,0,0
