stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,0,0,0
 14-21,3.78,0,3.1,0,7.26,0,0,0,0.84,0,0,5.84,0,0,0,1.79,0.8,3.26,0
 24-34,2.61,0,1.69,1.39,2.4,0,0,0.65,0,0,0,8.87,0.83,0.82,0,1.08,0.7,0,0
 36-46,0,0,1.27,0,0,0,0,0,0,0,0,14.5,2.17,0,0,0.88,0,1.7,9.84
 48-58,0.6,0,8.09,0,2.39,0,0.78,0.4,1.03,0,0,16.74,4.49,0,0,0,0,7.15,0
 60-70,1.67,0,14.01,6.35,1.49,0,0.66,0,0.71,1.27,0,3.36,0.6,0,0,3.22,0,0,0
 72-82,1.14,0.97,2.08,0.8,6.71,0,0.83,0.86,7.74,0,0,4.27,3.4,3.62,4.25,0,0,11.3,0
 84-94,0.83,0,1.11,2.21,1.65,0,0,0.83,0,0,1.64,9.67,0.66,2.75,6.6,1.37,0,0,0
 96-106,5.57,0,0.58,2.28,2.29,1.35,2.96,0,2.87,0,0,3.43,5.4,0.71,8.49,0,0,0,0
108-118,12.34,0,1.16,5.38,1.51,0,18.17,0.49,1.63,0,0,6.51,8.14,2.18,26.18,0.64,0,3.81,0
120,2.39,0,3.79,1.16,10.81,0,12.41,0,21.48,1.13,0,20.09,0,0,9.1,4.58,0,0,0
