stage,blastomeres,gut,neural,olfactory,taste
 10-12,7.25,0,0,0,0
 24-34,0,0,0,0.72,0
 36-46,0,0,0,3.06,0
 48-58,0,0,0,1.79,0
 72-82,0,1.44,0,1.03,0.74
 84-94,0,0.98,0,1,6.44
 96-106,0,2.56,2.09,2.44,10.4
108-118,0,2.58,0,3.77,2.22
