stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,35.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,28.26,0,0,0,0,0,0,0,0,0,0,0,0,199.1,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,11.02,0,0.96,0,0,0,0,0,0,0,1.28,0,0.83,0,3.51,349.9,8.47,6.31,0,1.3,0,13.97,0,2.93,20.53,336.05,0,0,0,0,0
 24-34,0,0,4.89,0,5.51,0,0,0,10.82,0,0,0,0,0,7.12,0.68,20.06,757.61,0.85,65.31,0,0,6.54,0,0,0,2.77,787.02,0,0,1.6,0,0.63
 36-46,0,0,33.43,0,18.35,0,0.93,1.2,0,0.83,0,0,0,0,4.28,0,0.59,780.35,0,33.38,0,0,1.05,0,0,0,0,1127.74,0,0,0,0,0
 48-58,0,0,0,0,16.78,2.73,5.26,1.25,8.1,0,1.04,0,0,1.95,6.58,0,4.31,433.17,1.4,37.45,0,0,0,0,0.37,0,0,1244.34,0,0,0,0,4.08
 60-70,0,0,47.21,0,13.83,1.06,8.05,0,4.29,0,0,0,4.41,0,18.03,3.11,3.16,183.49,0,26.77,0,0,0,0,0,0,0,720.53,0,0,0,0,0
 72-82,0,0,12.36,0,32.2,0,0,0,16.45,0,0,0,0,0,15.78,0,1.24,121.09,0,61.27,0,0,0,0,0,0,0,210.74,0,0,1.31,0,11
 84-94,0,0,43.67,0,20.98,0,1.24,0,9.69,0.84,0,0,4.29,0,9.68,0.59,0.98,49.37,0,116.06,0,0,0,0,0,0,0,263.53,2.21,0,0,0.91,0
 96-106,0,0,60,5.87,2.56,0,1.07,0,13.87,7.06,0,0.6,3.23,0,1.5,4.59,0,64.64,2.3,182.12,0,0,4.15,0,0,0,0,105.88,5.52,0,2.64,0,0
108-118,0.66,0,40.3,0.42,18.82,1.37,0,0,4.35,4.41,0,0,1.58,0,5.78,5.23,1.73,67.08,0,104.26,0.57,0,0.68,0,0.86,0,0,11.35,0.52,1.23,0,0.83,0
120,0,0,58.05,0,13.28,0,0,0,1.21,6.42,0,0,0,0,12.69,1.65,0,43.99,0,64.31,4.29,0,0,0,0,0,0,19.44,0,0,0,0,0
