stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,mesenchyme,neural,paraxial.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,134.84,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.28,138.98,0,0,0,0,0,0,30.16,0,0,0,0,0
  7-9,3.82,0,0,5.36,0,0,0,0,9.79,16.3,0,0,0,0
 10-12,0,0,0,6.26,0,0,0,0,0,0,15.96,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.85,1.05,0
 24-34,0,0,0,0,0,0,6.47,0,0,0,0,0,0,0
 36-46,0,0,0,1.31,0,0,7.26,0,2.38,0,0,0,0,3.75
 48-58,0,0,0,0,0,0,3.17,1.36,6.52,0,0,0,0,1.81
 60-70,0,0,0,9.56,1.62,0,3.47,0,0,0,0,0,0,7.03
 72-82,0,0,0,0,0,0.68,3.28,3.58,1.58,0,0,0,0,1.04
 84-94,0,0,0,0,0,0,6.92,2.52,0,0,0,0,0,1.1
 96-106,0,0,0,0,0,0,11.16,0,0,0,0,0,0,2.63
108-118,0,0,0,0,0,0.91,9.16,0,0,0,0,0,0,3.77
120,0,0,1.24,0,0,15.77,15.05,0,0,0,0,0,0,0
