stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  5-6,43.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,0,3.85,0,5.48,0,0,0,0,0,0,0,128.38,0,0,38.26,0,0,0,0,0
 10-12,0,0,0,0,12.8,0,0,0,0,0,0,0,87.15,0,0,16.7,0,0,5.8,0,0
 14-21,0,0,0,1.24,0,0,0,19.98,0,0,0,0,15.73,2.02,1.14,1,0,3.3,8.46,0.86,29.44
 24-34,0,0,0,0.98,0,0,0.61,25.89,0,0,1.31,0.92,13.1,4.78,0,0,5.61,0,5.06,0,18.21
 36-46,0,0,0,0,0,0,0,5.71,0,0,0,0,15.73,17.74,0.8,0,0.57,0,6.69,0,17.33
 48-58,0,0,0,0,2.87,1.02,0,7.38,0,0,1.64,0,15.98,3.71,0,0,0,0,4.5,0,10.23
 60-70,0,0,0,0,0.65,0,0,5.61,0,0,0,0,2.16,24.57,0,0,0,0,0,0,12.82
 72-82,0,0.76,0,0,1.11,0,0,8.15,0,0,2.28,0,5.05,8.57,0,0,0,0,1.23,0,3.54
 84-94,0,0,0,0,1.9,0,0,15.57,0,0,2.06,0,2.81,7.15,1.72,0,3.34,0,1.35,0,2.21
 96-106,0,0,0,0.82,0.73,0,0,6.23,0,0,7.11,0,3.57,19.92,2.08,0,0,0,1.05,0,2.4
108-118,0,0,1.06,0.5,3.61,0,0,3.31,0.49,0,3.27,0,7.18,13.2,2.05,0,1.13,0,0,0,8.38
120,0,9.35,0,1.45,0,0,0,12.31,0,1.74,3.42,0,0,0,0,0,0,0,3.93,0,21.44
