stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,19.06,0,0,0,3.14,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,2.9,7.07,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0.96,0,0,0.72,0,6.89,2.94,0,0,0
 36-46,0,0,0,0.86,1.17,0.74,1.75,0,0,0,0,0.63,0,0,6.84,0,1.52,0,0,0,0,7.91,17.24,0,0,0
 48-58,0,0,0,1.28,0.93,0,6.7,0,0,0,0,0.92,0,0,8.82,0,1.01,0,0,0,0,1.77,9.47,0,0,0
 60-70,0,0,0,0,1.37,0,4.11,0,0,2.54,1.6,0,0,0,19.14,0,0,0,0,0,0,4.24,8.53,0,0,0
 72-82,0,2.04,0,5.43,4.8,0,2.42,1.44,0,0,0.73,0,0,1.61,9.84,0,0.74,0,0,0,0,3.04,1.66,0,0,0.59
 84-94,0,4.51,0,2.37,5.44,0,7.91,0,0,0,0.72,1.01,0,0,5.85,0,1.84,0,0,0,0,0,6.77,0,0,0
 96-106,0,0,0,11.19,6.95,0,8.28,0,4.1,0,0.71,0,0.59,0,13.88,0,5.29,0,0,0,0,0,2.97,0,1.87,0.91
108-118,0,0,0,27.03,0.46,0,12.07,0,1.34,0,4.39,1.59,0,0,12.22,0,0.44,1.13,0,0,0,0.98,14.59,0.54,1.25,0
120,0,0,0,22.83,0,0,3.22,4.03,0,0,0,0,0,0,18.12,0,0,0,0,1.68,0,7.79,7.75,0,0,0
