stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,97.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,59.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.9,0,0,0,0,0,0,0,0,0,0,0,8.77,0,0,0,0,0,0,0,0,0,0,17.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39,0,0,0,0,0,5.47,0,0,0,0,0,0
 14-21,0,0,1.23,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,10.32,0,0,0,0,0,0,0,2.74,0,0,0,0
 24-34,0,0,0,0,0,0,3.89,0,0,0.76,0,0,0,0,0,0,0,1.46,0,1.2,0,0,0,22.51,0,49.79,0,0,3.58,0,0,4.31,0,0,0,0
 36-46,0,0,0,0,0,0,12.16,0,1.06,0,0,0,0,1.34,0,0,0,1,0,1.22,0,0,0,30.12,0,65.59,0.8,0,2.78,0,0,6.12,0,0,0,0
 48-58,0,0,0,1.67,0,0,173.42,0,0.42,0.41,1.12,0,0,0,0,0,0,0,0,2.47,0,2.33,0.4,20.52,0,18.26,0,0,2.89,0,0,3.53,0,0,0,3.66
 60-70,0,0,0,4.18,0,0,2162.72,0,0,0,7.43,0,0,0,0,0,0,0,0,20.64,0.75,0,0,53.7,0,12.63,1.05,0,4.2,0,0,9.96,0,0,0,0
 72-82,0,0,0,17.8,1.07,0,6763.41,0.76,3.17,0,65.26,0,0,1.33,0,0,0.57,0.65,0,16.06,0,4.7,0,189.6,0.5,11.72,0,2.71,2.15,0,0,1.86,0,3.37,0,0.52
 84-94,0,0,0,20.63,0.57,0,4172.97,0,2.64,0.91,70.51,0,0,0,2.85,1.22,0,0.81,0,36.83,0,10.89,3.01,132.81,0,13.68,4.51,0,8.74,0,0,4.25,0,6.86,4.75,0
 96-106,0,0,2.47,21.98,10.3,0.98,5612.77,0,0.98,6.95,60.92,5.54,0,0,1.9,1.5,0,1.01,0.73,34.25,0,2.75,1.2,106.84,0,34.37,3.79,0,2.74,0,0,1.8,4.97,4.22,2.62,0
108-118,0,0,0.52,4.1,3.63,0,3647.12,0,0,0,47.11,0,0,0,0,0,0,1.4,2.86,23.89,0,6.29,4.41,146.27,0.54,23.28,12,0,2.34,0,0.84,5.35,0.71,0,10.68,0
120,0,0,0,0,0,0,1776.18,0,0,0,22.88,0,0,0,0,0,0,0,0,53.86,0,1.26,0,115.4,2.33,67.46,0,0,0,0,0,0,0,7.76,0,0
