stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,142.77,2441.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0,0
  5-6,249.12,3206.14,0,0,0,0,0,0,0,0,0,0,26.14,0,0,0,0,0,0,0,0,0,0,0,253.99,7.03,0,0,38.82,0,40.84,0,0,0,0,0,0,0,0,0,0,0
  7-9,41.67,129.14,0,158.33,0,5.98,279.17,0,0,0,0,0,128.96,0,0,0,0,0,0,0,0,0,0,0,2336.6,61.36,0,0,713.55,0,0,20.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.4,0,131.74,0,6.65,128.33,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,1595.02,26.87,0,0,674.75,0,8.76,18.59,0,90.32,0,26.68,0,0,0,0,0,0
 14-21,0,0,0,9.43,74.52,26.97,52.45,0,0,0,14.13,7.76,0,3.06,0,1.7,0,0,0,3.28,52.13,0,0,39.52,740.75,3.56,3.1,9.06,12.01,0,12.88,3.54,83.33,1.43,10.6,105.23,231.58,0,0,3.56,0,0
 24-34,0,0,1.4,5.49,39.46,9.02,144,2.95,1.62,0,21.95,1.89,0,2.95,0,5.46,0.99,1.97,2.83,2.83,114.85,1.6,1.52,39.6,1568.17,9.76,11.96,8.01,0,0,20.77,0,1.58,5.14,1.87,18.26,338.23,0,0,19.92,0,4.74
 36-46,0,0,0,0,24.1,1.22,270.51,1.54,2.24,0.58,28.25,1.49,0,0,1.54,0,1.31,1.34,0,2.7,101.63,0,1.73,23.9,1284.7,2.5,8.12,4.33,0,0,15.28,0.81,0,0,0.58,0,300.63,0,0,11.34,0,1.29
 48-58,0,0,0,0,14.32,7.68,358.38,3.94,2,2.65,65.02,0.43,3.48,3.03,1.75,0.39,10.41,1.89,1.59,2.35,86.75,0,3.67,23.2,1144.63,0.86,2.25,4.37,0,0,24.1,0,0,0.43,0,0,249.95,0,0.89,12.29,0,7.65
 60-70,0,0,0.86,0,18.72,0,354.45,3.78,1.72,3.93,74.73,2.96,0,0.7,1.92,0,2.85,0.73,0,2.64,66.94,0,0.81,25.04,778.78,0.93,6.88,0.76,0,0.66,19.32,0,0,9.88,3.27,0,97.09,0,0,12.7,0.59,9.6
 72-82,0,0,0,0,22.25,14.21,307.22,0.6,2.33,5.51,46.01,10.52,0.6,1.41,3.1,0.52,0.9,2.82,5.43,2.67,106.89,0,10.89,8.63,800.6,0,4.81,9.97,0,5.35,13.25,0,0,0,2.68,0,87.22,2.29,3.28,20.88,2.43,6.76
 84-94,0,0,1.15,1.01,23.64,0.7,246.54,0.75,4.08,1.23,46.05,6.76,0,0,6.29,3.92,1.92,0,0,1.82,57.66,1.29,4.02,16.17,460.19,5.08,1.59,12.86,0,0,33.75,0,0,2.35,0,0,100.73,1.5,4.97,8.09,7.66,19.17
 96-106,0,0,3.28,0,15.57,5.97,130.79,1.29,3.04,2.7,51.33,3.05,0,0,4.59,0,10.02,1.29,0.76,0,77.36,3.18,5.69,15.39,409.51,0,7.41,9.88,0,3.64,34.12,0,0,0.61,0,0,21.23,2.09,0,15.64,0,2.94
108-118,0,0,1.86,0.49,32.07,3.39,174.89,0,7.15,0.65,63.53,10.26,0,1,6.4,2.96,7.73,0.94,1.43,12.66,96.76,1.46,0,20.48,516.57,0.59,7.89,11.78,0,6.62,32.77,0,0,1.26,0.43,0,32.51,0.67,0.96,25.93,4.55,7.02
120,0,0,0,0,38.25,1.04,167.8,6.83,1.16,5.18,72.09,17.87,0,0,0,6.31,7.25,4.64,2.11,17.55,91.97,11.96,0,18.02,565.22,3.81,1.61,5.94,0,0,77.92,0,1.12,0,3.31,0,7.35,0,8.19,25.63,37.4,3.6
