stage,blastomeres,epidermis,eye,glial,immune,ionocyte,neural,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,13.99,0,0,0
  5-6,7.15,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.47,0,0,0,27.41,0,0,0,0
 10-12,0,0,0,0,0,0,16.3,0,0,0,0
 14-21,0,1.04,0,0,0,0,3.56,0,0.9,0,0
 24-34,0,0,0.63,0,0,0,0.73,0,0,0.73,2.41
 36-46,0,0,0,0,0,0,2.15,0,0,1.57,0.69
 48-58,0,0,0.52,0,0,0,3.24,0,0,0,0
 60-70,0,0,1.79,5.73,0,0,3.4,0,0,0,0
 72-82,0,0,8.02,0,0.5,0,2.12,0,0,0,0
 84-94,0,0,2.02,0,0.69,0,0,1.53,0,0,0
 96-106,0,0,0,0,0,1.14,0,2.39,0,0,0
108-118,0,0,0,0,0.64,0,0,0,0,0,0
120,0,0,0,0,0,0,2.63,2.57,0,0,0
