stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,73.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,5.58,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,49.6,0.85,0,0,0,0,0,0,0,0,0,0,0,0,148.04,0,87.09,50.61,0,0,0,0,0,0,0.91,3.62,0,1.92,13.38,10.83,0,0,0
 24-34,0,0,68.27,1.02,20.72,0.75,0,0,3.59,0,1.12,0,0,0,0,0,454.42,0,104.75,95.2,0,0,0,0,0,0.74,0,0,0,0,2,33.1,0,5.44,0
 36-46,0,0,133.32,0,39.1,1.41,4.59,2.71,1.65,0,0,0,0,0,0.56,0,471.11,0.89,46.99,134.33,1.63,0.64,0,0,0,12.26,0,0,1.24,0.71,0,31.9,0,7.15,0
 48-58,0,0,73.09,0,36.71,1.51,2.79,3.36,0.88,0,0,0,0,0.53,3.6,0,298.15,0,21.39,149.02,0.57,0,0,0,0,0.49,0,0,0,2.04,0,43.67,2.24,4.92,0
 60-70,0,0,49.27,0,9.07,0,4.04,1.65,0,0,0,0.64,0,0,0,0,111.52,0,7.12,61.2,0,0,0,0,0.96,2.75,0,0,0.73,3.98,0,14.71,5.81,9.65,0
 72-82,0,0,23.34,0,7.25,0,2.42,18.23,9.83,0,0,0,0,1.02,0,8.9,97.36,0,10.28,149.87,0,0,0.61,0,3.89,0,0,0,0,0,0,18.54,3.52,18.21,3.32
 84-94,0,0,25.73,0,13.89,0,0,0.59,3.29,0,0,1.19,0,0,0,0,67.05,1.31,0,95.09,0,0,0,0,0.77,3.42,0,0,0,3.31,0,0,0.58,21.7,2.43
 96-106,0,0,17.66,0,22.83,0,0,1.31,0,0.66,0,0.83,0,0,0,0,47.12,5.51,4.16,73.76,0,0,0,0,3.07,0,0,0,0,12.33,0,8.06,3.32,18.56,4.46
108-118,0,0,10,0,14.87,0,0.43,0.75,11.19,0,0,0.5,6.66,0,0,0,29.36,8.12,7.4,84.83,0,0.64,0.85,0,18.65,0,0,0,0,3.42,0,0,1.46,14.28,7.08
120,0,0,8.55,0,20.9,0,0,1.92,2.7,0,0,1.88,0,0,0,0,34.84,6.76,3.27,121.82,0,0,0,0,0,0,0,0,0,1.22,0,0,12.76,47.69,0
