stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.83,1.04,13.31,0,0,0,1.17,0,4.41,0,0,0,0,0,0,5.55,0.86,0,0,0,3.66,14.1,0.87,0,0,0,0,0,0,0.93,6.31,12.67,0,0,0,0,3.62
 24-34,0,0,8.31,11.22,0,5.79,0,0,0,0.9,0,2.21,0,0.74,0,0,5.85,0,10.56,0,0,2.07,61.71,0,0,0,0,0,2.5,0.61,1.55,7.65,7.81,0,0,3.74,0,0
 36-46,0,0,1.97,7.42,0,11.97,1.61,0,0,1.08,0,5.41,0,0,0,0,3.77,0,3.82,0,0,11.68,75.81,0,1.29,1.08,0,0,0.87,0,0,0,10.45,0,0,2.43,0,0.58
 48-58,0,0,7.12,11.58,0,20.37,0.96,0,0.42,4.05,0,0.42,0,0.8,0,0.53,7.95,0,29.21,0,0,1.43,89.5,0,0,0,0,0,0,0,0,0,10.43,0,0,6.21,0,0
 60-70,0,0,2.97,13.86,0,24.99,1.1,0,0,4.04,0,5.1,0.62,0,0.6,0,6.09,0.59,29.15,1.53,0,3.18,45.26,0,0,0,0,0,0,1.31,0,0,2.24,0,1.5,0.72,0,0.79
 72-82,0,0,0,33.85,0,36.58,1.32,0,0.62,6.24,0,1.54,0,0.86,0,0,4.23,0,44.97,0,0,1.72,45.95,0,0,0.54,0,2.75,0,0,3.62,0,3.39,0,0.66,0.72,0,2.1
 84-94,0,0,2.14,26.34,1.06,16.29,3.53,3.94,0,6.42,0.93,4.81,1.59,0,0.76,0,16.09,0,7.28,0,0,0,19.26,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0
 96-106,0,0,5.84,53.08,0,19.83,3.04,0,0,11.73,0,0.71,0.58,0,3.46,0,52.42,0,35.37,0,0.85,5.74,52.37,0,0,0,0,0,0,0,0,0,1.95,0,0.96,0,1.17,0
108-118,0,0,8.22,22.24,1.62,8.36,2.85,2.89,3.21,1.88,3.46,1.1,1.07,1.03,0.64,0,48.8,0.55,19.17,0,4.1,1.13,68,0,0,0,0,0,1.02,0.64,0,0,0,0,0,2.27,0,0
120,0,0,1.94,67.83,0,30.15,0,0,0,20.66,0,0,5.99,7.01,0,0,32.13,0,54.02,0,0,0,34.47,0,0,0,0,0,2.14,0,0,0,0,1.81,0,4.54,0,0
