stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,4.15,22.77,248.82,81.39,0,96.2,0,2.05,0,18.6,18.3,15.18,4.6,1.43,13.71,0,0,4.33,0.86,126.11,0.95,0,93.06,1215.47,76.9,14.54,14.24,29.6,0,41.93,6.76,121.3,21.68,2.87,113.74,482.62,0,0,21.57,0,1.85
 24-34,2.27,2.79,72.2,29.08,0,155.72,0.62,13.9,3.06,44.53,7.5,0,2.5,5.84,13.59,0,5.36,2.65,2.16,193.78,12.82,0,98.95,2499.39,34.38,38.38,15.23,0,0,89.69,0,0,9.47,3.42,19.92,570.22,0,0,70.55,0,5.65
 36-46,0,0,25.82,5.17,0,388.05,1.31,3.03,12.93,106.86,1.2,0,2.17,5.08,2.89,6.6,5.18,0.62,16.36,198.34,6.06,3.44,54.94,2560.41,11.67,51.31,18.04,0,1.69,70.45,0.68,1.05,5.36,0,0,697.93,0,0,42.05,0,23.36
 48-58,0,0.43,32.71,4.94,0,716.8,3.46,5.65,12.87,212.56,0.89,1.14,6.98,12.69,11.36,0.97,6.87,3.34,5.28,331.54,9.95,8.69,57.94,2473.23,3.92,26.39,30.32,0,1.01,64.29,0.98,0,16.93,0.46,0,556.88,0,1.06,25.42,0,16.29
 60-70,0,0,67.95,7.64,0,921.08,1.63,24,6.85,247.33,3.54,0,1.6,20.29,5.46,3.01,9.01,4.33,0,395.46,9.85,9.39,51.94,2177.41,9.58,40.23,23.78,0,4.46,73.94,0,0,12.32,0,0,380.25,0,9.38,55.18,2.65,17.37
 72-82,5.34,0,31.35,55.1,0.9,789.52,3.03,9.22,9.87,242.74,11.4,2.11,3.68,23.65,9.21,5.85,5.95,2.94,0.49,445.71,21.48,13.63,31.5,2091.43,6.76,31.1,29.78,0,2.81,48.39,0,0,1.22,3.03,0,232.37,4.62,9.42,48.7,7.76,0
 84-94,6.12,0.78,76.48,40.22,1.25,645.56,4.93,13.89,8.47,194.33,26.27,6.21,4.11,45.99,10.19,7.76,11.73,11.16,0.56,408.94,27.56,18.73,37.84,1308.41,5.68,22.76,31.22,0,6.05,132.27,0,0,15.81,0,0,165.24,10.42,11.18,37.43,7.56,12.7
 96-106,2.65,1.75,101.79,103.18,10.49,606.95,6.13,14.61,14.89,200.76,33.69,0,7.11,58.45,11.69,4.99,8.52,27.46,0,316.45,29.24,17.24,30.61,1159.58,1.91,46.08,31.84,0,8.92,120.64,0,0,8.47,0.64,0,74.56,14.1,14.34,59.59,13.83,3.84
108-118,2.87,1.1,87.37,46.15,6.95,522.75,2.72,16.82,10.43,196.5,30.52,0,4.85,57.54,14.11,16.85,6.96,17.72,12.78,299.76,23.41,19.26,33.09,1597.07,4.3,33.38,26.2,0,7.58,88.1,0.79,0,9.35,0.98,0,77.05,13.46,1,41.15,6.56,7.71
120,1.37,0,94.55,51.61,0,420.43,7.99,13.06,19.92,245.55,38.37,0,4.91,76.99,7.02,12.07,0,13.19,1.55,286.43,8.01,26.72,23.43,1834.76,20.78,47.7,38.12,0,2.63,77.52,0,0,1.87,0,0,72.78,10.7,3.14,27.76,13.63,9.57
