stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,vasculature
  3-4,83.8,1756.9,0,0,0,0,0,0,0,0,48.51,0,0,0
  5-6,50.29,1218.12,0,0,0,36.8,51.84,0,0,9.43,0,0,0,0
  7-9,6.38,5.95,3.79,0,67.08,17.73,312.27,6.87,0,115.42,0,23.6,0,0
 10-12,0,0,10.83,0,19.43,0,105.41,3.91,0,17.31,0,0,7.34,0
 14-21,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0
 24-34,0,0,0,0.6,0,0,0,0,0,0,1.57,0,0,0
 48-58,0,0,0,0,0,0,1.1,0,2.38,0,0,0,0,0.49
