stage,blastomeres,endocrine.pancreas,eye,fin.epithelia,glial,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.9,0,0,0,0.89,0,0,0
 24-34,0,0,0,0,0,1.05,0,0,1.86,0,0,0,0.93,0,1.4,0
 36-46,0,0,0,0,0,0.59,0,0,19.22,0,0,0,0,0,0,0
 48-58,0,0,1.58,0,0,0.49,0,0.49,12.2,1.1,0,0.61,0,0,0,0
 60-70,0,0,5.49,0,0,0.65,0,0,7.21,0,5.6,0,0,0,0,0
 72-82,0,0.61,5.89,0,0,9.76,1.2,0,5.93,0,0,0,0,0,2.38,0.91
 84-94,0,0,4.17,0.63,0.68,0,0,0,9.11,0.71,6.37,0,0,1.17,0,0
 96-106,0,0,1.83,0,0,0,0,0,0,0,1.84,0,0,0,0,0
108-118,0,0,0.78,0,4.18,0,0,0,6.27,0,2.52,1.21,0,0,0,0
120,0,0,0,0,0,2.71,0,0,19.11,0,9.38,0,0,0,5.71,0
