stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,36.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,0,0,0,8.59,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.15,4.01,0,0,4.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.67,3.76,0,1.69,0,0,0,0,1.81,0,0,0,0,0,0,0,1.03,0,0,2.76,39.39,2.17,0,0,0.86,0,0,1.79,16.4,0,0,0,0
 24-34,0,0,0.74,16.39,0.95,0,2.55,0,0.73,0,0,0,0,1.22,0,0.64,0,10.94,0,5.1,0.71,0,0.99,138.78,0.6,2.67,0,0,0.93,0.66,1.28,40.92,0,0,1.91,0
 36-46,0,0,0,5.53,0,0,20.84,0,12.05,0,5.1,0,0,0,0.98,0,1.36,9.28,0,13.88,0,0.67,0.57,154.75,0,1.87,0,0,3.02,0,0,40.67,0,0,0,0
 48-58,0,0,0,1.25,0,0,24.45,0,0.63,1.28,17.77,0,0,0,0,0,0,12.13,0.57,21.44,0,0,0.79,96.58,0,0.65,0,0,0,0,0,20.21,0,0,6.7,0
 60-70,0,0,0,0.88,0,0,50.98,0,0,0,8.79,0,2,0,1.14,0.82,0,18.2,0,15.44,0,1.05,0.56,66.55,0,0,2.45,0,0,0,0,21.73,0,0,1.18,2.44
 72-82,0,0.54,0,3.16,3.66,0,24.03,0,0,5.03,6.06,0.64,0.59,0,0,0,0,56.68,0,23.03,0,2.09,0.97,59.57,0,0,2.89,0,1.53,0,0,0,0.92,0.52,4.03,0
 84-94,0,0,0,2.04,0,0,17.3,0,0.62,1.35,6.35,7.14,0,0,0,0,0,105.87,0,29.38,1.01,0,2.29,36.81,0,0,0.76,0,6.98,0.94,0,7.56,0,0,2.29,0
 96-106,0,0,0.88,3.95,0,4.31,23.88,1.95,0,0.82,15.99,7.41,0,0,0,1.58,0.57,207.07,0,30.28,0,0,4.9,68.91,0,0.71,2.89,0,6.53,0,0,8.16,0,0,3.65,0
108-118,0,0,0.55,3.52,1.29,0,30.74,0,2.62,1.14,6.41,1.86,0,0,1.76,1.45,0.61,200.53,0,38.5,0,8.59,0,41.31,0,0,0.48,0,8.77,0,0,1.73,0,0,1.68,0
120,0,0,1.28,1.14,0,0,28.13,0,1.17,0,19.63,9.13,0,0,1.43,0,0,89.76,0,12.85,0,0,0,44.21,0,0,0,0,5.26,0,0,0,1.81,0,0,0
