stage,epidermis,eye,fin.epithelia,glial,immune,ionocyte,melanocytes,mucous,muscle,neural,periderm,pronephros,spinal.cord,vasculature
 10-12,0,3.34,0,0,0,0,0,0,0,0,0,6.93,0,0
 14-21,2.29,1.08,0,0,0,0,0,0,0,0.85,0,0,0,0
 24-34,0.62,0,0,0,0,0.65,0.66,0,0,1.1,0,0,1.06,2.38
 36-46,1.74,0,0,0,0,0,0,0,0,3.63,6.59,0,0,1.04
 48-58,3.4,0.92,0,0,0,0,0,1.46,0,8.49,1.99,0,0,1.7
 60-70,1.77,0.9,1.24,0,0,0,0,0,1.17,11.08,1.33,0,0,0
 72-82,1.05,0.62,0,1.79,0,0,0,0,0,4.74,4.05,0,0,0
 84-94,2.47,0,0.58,2.16,0,0,0,0,0,0.78,3.09,0,0,1.94
 96-106,0,3.13,0,0,0,0,0,0,0,1.17,6.18,0,0,0
108-118,2.74,3.75,0,3.06,0.8,0.65,0,0,0,0,0.68,0,0,0
120,0,0,0,0,0,0,0,0,0,0,13.08,0,0,1.1
