stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,81.09,1084.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.06,0,0,0,0,0,0,0,0,0,0
  5-6,20.59,338.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.75,0,0,19.51,0,0,36.7,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,119.43,0,0,0,15.91,0,0,28.68,0,0,0,0,0,0,0,0,0
 10-12,0,13.19,0,18.42,0,0,17.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.21,6.53,0,0,72.27,0,4.52,24.55,0,7.42,0,0,3.51,0,0,0,0
 14-21,0,0,1.38,0,24.9,1.69,3.95,0,0,4.25,2.54,0,0,0,0,0,0,0,0,8.18,0,0,9.59,48.56,13.91,0,0,0,0,7.35,0,6.54,0,3.79,10.58,9.32,0,1.06,0,0
 24-34,0,0,0.71,0,24.03,0.86,4.91,6.34,0.68,1.27,0,0,0.9,0.69,0,0,0,0,2.74,10.85,0.93,0.89,6.5,86.71,0.68,0,0,0,0,9.84,0,0,1.13,0,0,19.84,0,14.65,0,0
 36-46,0,0,0,0,13.11,1.26,11.49,22.87,2.11,4.17,0.74,0,0,0,0,0,0,0,0,10.51,0,0,2.54,66.96,0,1.29,0,0,0,8.31,0,0,0,0,0,21.88,0,4.11,0,0.57
 48-58,0,0,0,0,10.91,0,25.36,16.07,1.59,9.6,0,0,0,0,1.72,0,0,0,0.4,21.56,0,0,4.57,100.85,0,2.08,0,0,0,22.55,0,0,0.43,0,0,38.72,0,7.38,0,0.4
 60-70,0,0,0,0,2.75,0,48.94,24.45,1.78,16.59,0,0,0.75,0,1.02,0,3.05,0,0,37.96,0,7.85,1.43,135.18,0.57,0,1.67,0,0,12.55,0,0,0,0,0,11.56,0.57,3.23,0,0
 72-82,0,0,0.5,0,6.23,1.75,53.18,3.25,3.08,30.71,1.04,0,0.7,0.49,0.53,0,0.83,0.79,0,47.39,0,1.14,2.22,121.66,0,1.37,0,0,0,18.42,0,0,0,0,0,18.8,1.52,2.51,0.69,0
 84-94,0,0,0,0,8.58,0,46.22,28.79,0,43.75,0,1.23,0,1.77,2.03,0.69,0,1.44,0,53.73,0,8.11,2.23,70.85,0,0.78,2.52,0,0,31.38,0,0,0.76,0,0,20.18,0.75,7.13,2.06,0.64
 96-106,0,0,0,0,3.58,0,68.75,5.44,1.11,31.47,0.79,0,0.66,4.01,0.61,0,2.27,3.35,0.68,66.43,0,0,8.31,66.1,0,2.22,0.87,0,1.51,18.33,0,0,0,0,0,8.53,1.58,4.94,1.32,3.29
108-118,0,0,0,0,19.91,1.14,47.93,23.73,3.17,26.62,1.06,0,0,2.62,0,3.47,2.05,0,0,57.97,2.42,0,1.47,102.43,1.51,0,1.33,0,3.39,23.03,0,0,0,0,0,6.06,4.23,5.9,0.62,7.3
120,0,0,0,0,13.38,0,35.82,15.93,0,6.25,1.52,0,0,6.47,0,0,0,0,0,35.67,0,8.3,2.36,186.02,0,0,7.79,0,3.42,25.62,1.53,0,0,0,0,17.7,2.93,0,0,0
