stage,blastomeres,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,17.68,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,25.94,4.88,0,0,0
 10-12,0,10.38,0,0,0,0,0,0,9.36,0,0,0
 14-21,0,0,0,0,0,0,0,1.1,0,0,0,0
 24-34,0,1.45,0,0,1.1,0.75,0,11.57,0,0,1.02,0
 36-46,0,0,0,0,0,0,0,4.35,0,0,0,0
 48-58,0,0.89,0,1.5,0,0.72,0,5.07,0,0,0.49,0
 60-70,0,3.06,0.89,0,0,0,0,0,0,0.64,0,0
 72-82,0,0,0,0,0,2.43,0,4.31,0,0,0,0
 84-94,0,0,0,2.19,0,0,0,0,0,0,0,3.56
 96-106,0,0,0,0,0,1.12,1.09,0,0,0,0,0
108-118,0,0.62,0,0,0,2.97,0.42,0,0,0,0,0
120,0,0,0,2.99,0,10.89,0,0,0,0,0,0
