stage,axial,blastomeres,eye,fin_epithelia,glial,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste
  3-4,0,39.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.63,78.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.07,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,14.58,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.41,0,0,0,0,0,11.45,9.38,0,0,0,2.07,0,8.23,0
 24-34,0,0,0,0,14.51,0,0,0,0,0,15.12,0,2.05,0,0,3.44,0.64,19.86,0
 36-46,0,0,0,8.76,5.14,0,0,0,0,0,8.31,0,7.21,0,1.66,9.5,0,19.45,0
 48-58,0,0,3.21,0,10.46,0,0,0,0,0.4,2.24,0,3.21,2.13,0,14.4,0,28.12,0
 60-70,0,0,6.18,0,15.86,0,0,0,1.53,0,10.11,0,3.74,0,0,1.84,0,27.67,0
 72-82,0,0,4.52,0,21.51,0,0,1.98,0,0,22.13,0,6.05,0,0,0.86,0,23.94,1.34
 84-94,0,0,8.34,0,18.73,0,0.9,4.05,0,0,14.61,0,1.61,0.88,0,9.08,0,11.76,1.17
 96-106,0,0,2.39,0,23.93,0,0,0.79,0,0,2.59,0,6.65,2.31,0,3.35,0,16.94,0
108-118,0,0,5.44,0,24.93,0,0,2.09,0,0,5.51,0,13.79,0,0,3.14,0,9.52,0
120,0,0,7.06,0,26.87,1.18,0,2.92,0,0,12.77,1.55,19.1,0,0,0,0,11.45,0
