stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0
  5-6,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,11.72,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.74,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,2.08,0,0,0,23.72,0,0,0,0,0,0,0,1.72,8.32,0,0,0,0
 24-34,0,0,8.32,0,0,4.9,0,0,0,0,0,0,0,0,1.27,0,0,4.91,0,0,0.6,344.55,0,0,0,0,0,0.73,0,0,12.01,0,0,0,0
 36-46,0,0,0.67,0,0,123.19,0,0,0,2.38,0,0,0,0,0,0,0,2.02,0,0,0,1018.39,0,0,0,0,0,0,0,0,18.39,0,0,0,0
 48-58,0,0.92,11.7,0,0,677.4,0,0,0,25.51,0,0.89,0,0,0,0,2.48,18.61,0.65,2.99,0.42,1521.03,0,0,4.37,0,0,0.49,0,0,80.05,0,0,0,2.34
 60-70,0,0,5.27,0,0,945.84,0,0,0,33.06,0,0,0,0,0.73,0,11.52,17.62,0,0.85,1.4,1054.99,5.78,0,0,0,0,0,0,0,63.04,0.61,0.92,0,0
 72-82,0,0,9.87,0.65,0,869.88,0,0,0,26.75,0,0,5.73,2.56,0,0,0,10.52,3.82,0,0.8,770.19,0.53,1.27,0,0,1.61,0.87,0,0,27.7,0,5.97,0,3.06
 84-94,0,0,23.46,0.93,0,675.94,0,0,1.13,25.77,0.57,1.25,0,0,0.89,10.1,0,13.41,0,0,2.56,421.91,0,0.7,0,0,0,0.77,0,0,11.89,0,0,0,7.36
 96-106,0,0,6.14,6.15,1.87,390.16,0,0,0,22.9,1.45,0,0,0,0,5.13,0,0,0,0,0,267.15,0,0.83,0,0,3.53,0,0,0,6.9,0,1.56,0.74,0
108-118,0,0,17.61,0,0,451.87,0.47,0.88,0,8.34,0,0,0,0,0.52,0.71,0,5.87,0,3.6,0.57,318.53,0,0.55,0,0,0,0,0.55,0,3.89,0,0,0,0
120,0,0,6.01,0,0,481.54,0,2.35,0,18.93,0,0,0,0,0,0,0,14.93,1.16,0,0,582.2,0,0,0,0,0,0,0,0,3.28,0,0,0,0
