stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,9.65,71.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,68.15,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,27.7,0,0,3.85,0,0,0,17.87,0,0,0,0,0,27.22,0,0,0,0,0,0,0,0,0,83.37,10.9,0,22.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.74,0,7.61,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.18,5.38,0,5.2,0,0,0,0,0,3.11,0,0,0,0
 14-21,0,0,0,2.61,33.61,0,0,1,0,0,0,2.17,1.58,0,0,0,0,0,0,5.1,0,0,6.17,24.72,0,0.86,0,0,0,2.03,0,0,4.39,16.54,0,0,0
 24-34,0,0,0,0,45.66,0.69,0,3.26,0,5.38,0,1.48,0,0,0,0,0,0,0,19.57,0,0,8.52,56.99,0.61,0,0,0,0,0,0,0,0.62,14.81,0,25.5,0
 36-46,0,0,0,0,29.48,10.47,0,11.98,0,4.03,0,29,0,0,1.12,0,0,0,0,49.75,0.71,0,7.31,58.03,1.46,0,0,0,0,0,0,0.7,0,16.69,0,16.48,0
 48-58,0,0,0,0,9.25,0,0,3.64,0,5.87,2.78,10.54,0,0,0.42,0,0,0,0.39,38.06,0,0.43,1.87,23.26,2.14,0,0,0,0,0,0,2.62,0,6.42,0,18.43,0
 60-70,0,0,0,0,15.4,0,0,3.16,0,8.62,1.71,57.1,0,0,11.01,1.58,0,0,1.51,107.13,0,0.7,7.37,45.3,2.64,1.01,0,0,0,0,0,1.33,0,27.25,0,13.13,0.64
 72-82,0,0,0,0,10.69,0.59,0,6.08,0,1.19,0.68,57.94,0,0,0,1.55,0,0,0,93.2,0,0,3.67,21.92,0,0,0,0,1.59,0,0,0,0,9.68,0,25.79,0.59
 84-94,0,0,0,0,16.54,0,0,11.38,0,7.03,1.81,69.88,0,0,0,4.67,0,0.67,0,61.6,0,0.65,1.31,18.32,2.07,0,0,0,1.4,0,0,0,0,3.03,2.78,11.86,5.09
 96-106,0,0,0,0,20.73,0,3.58,6.54,0,18.9,1.02,86.43,0,0,6.22,2.65,0,0,0.84,98.8,0,0.67,4.9,15.89,3.17,2.09,0,4.32,0,0,0,0,0,17.13,0,14.97,6.86
108-118,0,0,0.92,0,44.63,0.69,0,13.02,0,33.38,2.54,81.81,0,0,0,2.09,2.25,1.85,0.84,85.4,0,0.92,1.77,21.49,7.57,0.68,0,1,0,0,0.87,0,0,2.85,7.38,29.39,6.71
120,0,0,0,0,9.99,1.16,0,2.91,2.85,12.48,2.12,83.79,2.14,0,0,3.45,0,0,0,122.26,0,0,4.8,4.29,14.89,0,0,0,0,0,0,0,0,18.34,0,30.28,21.24
