stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,0,0,0,0,0
 10-12,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,24.02,0,0,0,0,36.78,0,0,0
 14-21,0,0,0,0,0,0,8.85,0,0,0,0,0.93,0.92,0,12.45,0,0.95,3.15,0,26.96,41.46,0,0
 24-34,0,0,0,3.7,0,0,9.15,0,0,0,0,1.38,0,0,16.6,0,35.23,4.53,2.24,15.75,59.43,0,0
 36-46,0,1.35,0,0,0,0,9.02,0,0,0,0,0,0,0,26.04,0,14.33,0,0,10.16,28.41,0,1.37
 48-58,0,0,0,0,1.73,0,6.92,0,0,0,1.02,0,0.78,0,22.93,0,9.7,8.42,0,0.97,30.65,0,0
 60-70,0,0,0,0,8.31,0,13.33,0,0,0,1.62,0,3.32,0,31.62,0,9.84,2.65,6.6,0,10.61,0,0
 72-82,0,0.69,0,0,3.32,0.52,6.34,0,0,0,1.18,1.07,0,0,20.32,0,13.72,5.08,0,0,6.93,1.16,0
 84-94,0,2.56,0,0,2.61,0,7.15,1.12,1.87,0.74,1.85,0,2.23,0,14.27,0,10.18,14.29,5.53,0.58,4.35,0,0
 96-106,0,0,0,0.78,2.96,0,11.81,0,0.63,0,13.64,0,0,0,20.46,0,12.28,7.79,0,0,6.11,0,0
108-118,0,0,0,0,2.08,0.66,11.32,0,2.99,0,3.25,0,0.88,0,23.6,1.49,6.02,5.89,0.87,0.43,10.08,0,0
120,0,0,3.17,0,21.05,0,0,0,0,0,15.58,0,0,1.1,46.81,0,16.35,1.66,2.49,4.05,0,0,0
