stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
 14-21,0.88,9.93,1.79,9.71,0,0,5.62,0.82,0.98,0,0,0,11.51,0,4.61,184.46,2.83,3.07,2.11,9.52,9.46,2.57,51.18,0,0
 24-34,0,0.85,0,15.91,0,0,4.45,0,0,0.8,0,0,9.02,0,3.91,220.68,0,0.64,0,0.72,0,0.72,42.4,0,1.74
 36-46,0,2.6,0,58.87,0,0,1.02,0,0,0,0,0,6.79,0,3.68,151.82,0.66,0,0,3.31,0,0,27.09,0,0
 48-58,0,7.3,0,105.97,1.85,0,7.3,0,0,0,0,2.61,24.24,1.88,5.69,190.52,0,0,0,0.39,0,0,27.59,0,0
 60-70,0,0,0,54.09,0,0,7.71,0,0,0,0,0,5.01,0,0,66.2,0,0,0,0,0,0,10.33,0,0
 72-82,0,0,0,11.35,0,1.05,1.52,0,0,0,0.93,0,2.68,0,5.08,31.13,0,0,0,0,0,0,1.28,0,0
 84-94,0,0.62,0,20.38,0,2.18,1.81,0,0,0,0.56,0,14.33,1.5,0.67,35.82,0,0,0,0,0,0,0,0,0
 96-106,0,1.04,0,16.04,0,0,8.4,0.77,0,0,0,0,1.3,0,0,25.69,0,0,0,0,0,0,0,0.56,0
108-118,0,0.99,0,3.99,0.6,0,3.08,0,0,0,0,0.78,2.83,0,1.11,27.18,0,0,0,0,0,0,0,0.81,0.58
120,0,0,1.14,5.68,0,0,0,0,0,0,1.45,0,1.59,0,0,26.73,0,0,0,0,0,0,0,0,0
