stage,blastomeres,endoderm,hatching.gland,mesenchyme,neural,paraxial.mesoderm
  5-6,50.85,0,0,0,0,0
  7-9,0,5.11,0,0,19.53,6.65
 10-12,0,0,6.05,0,8.56,0
 14-21,0,0,0,1.2,0,0
 36-46,0,0,0,0,2.41,0
