stage,eye,fast.muscle,glial,melanocytes,mesenchyme,neural,spinal.cord
  7-9,0,0,0,0,0,8.03,0
 10-12,0,0,0,0,0,4.34,0
 36-46,2.95,0,0,0,0,6.6,0
 48-58,3.4,0,0,0,0.77,0.44,1.73
 60-70,9.51,0,2.18,0.88,0,3,7.96
 72-82,22.74,0,0,0,0.51,6.99,1.37
 84-94,15.48,0,2.06,1.19,0,0.73,5.7
 96-106,29.49,0,2.29,0.57,0,9.48,0
108-118,50.91,0.65,1.97,0,0,7.7,0
120,10.99,0,0,0,4.48,2.43,0
