stage,epidermis,erythrocytes,fin_mesenchyme,glial,mesenchyme,mural_cell,neural,otic,pronephros,somites,spinal_cord,vasculature
 14-21,0,1.91,0,0,0,0,0,0,0,0,0,0
 24-34,0.64,0.62,1.36,0,0,0,2.2,0,0,1.7,0.73,7.22
 36-46,0,0,0,0,0,0,0,0,0,0,2.05,4.98
 48-58,0,0,0,0,0.44,0,0.75,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,1.14,0
 72-82,0,0,0,0.74,0,0,1.64,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.64,0,0,0,0
108-118,0,0,0,0,4.25,0,0,0,0,0,0,0
120,0,0,0,0,0,0,13.07,0,2.12,0,0,0
