stage,endocrine.pancreas,eye,fin.epithelia,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,spinal.cord
 24-34,0,0,0,0,0,0,0,0,0.72,1.26,0,1.31
 36-46,0,0.66,0,0,0.9,0,0,0,0,1,0,0
 48-58,0,0,0,0,0,0,0,0,0,2.06,0,5.59
 60-70,0,1.77,0,0.99,0,0,0.9,0,0,3.3,0,0
 72-82,0,0,0,1.01,0,0,1.09,0,0,3.59,1.2,8.73
 84-94,0,0,0,1.5,0,0,0,0,0,1.85,0,0
 96-106,1.1,1.69,0.62,5.21,0,0.78,2.24,0,0,0,0,0
108-118,0,0,0,1.23,0,0,4.01,1.96,0,0,2.16,1.68
120,0,0,0,0,0,0,0,0,0,20.51,0,0
