stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,55.34,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0,0,0,0
  7-9,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.21,14.28,1.31,0,6.68,0,0,0.87,0,0,0,0,0,0,0,0.85,6.78,0,0,1.88,28.61,0,0,0,0,12.23,5.9,0.82,8.16,0,1.65,0,0
 24-34,0,0,0.59,0.62,0,0,1.3,0,0,2.19,0,1.98,2.27,2.72,0,0.85,0.67,0,2,0,0,0,2,1.19,1.66,0,0,4.94,1.68,0,1.4,0,3.49,0,1.64
 36-46,0,0.95,0,0.9,0,0,0,0,0,1.28,0,1.24,2.78,0,0,1.36,2.52,0,2.98,0,0,0,12.07,1.19,0,0.57,0,0.75,0,0,0.79,0,1.47,0,0
 48-58,0,0,0,0,0,0,8.66,0,0,1.26,0,0.45,12.94,0,0,0,2.18,0,3.01,0,0,0.37,26.37,0,0,0.54,0,4.19,0,0,1.43,0,6.05,0,0
 60-70,0,0,0,0,0,0,14.07,0,0,0,1.21,0.7,10.04,0,4.51,0,0,0,7.61,1.02,0,0,20.52,0,0,0,1.44,3.37,0,0,0,0,0.58,0,0
 72-82,0,0,0,1.56,0,0,31.88,0,1.05,0,0,2.01,7.34,0,0,0,0,0,13.2,0,1.14,0,4.37,0,0.49,0.97,0,1.48,0,0,3,0.52,0,0,2.1
 84-94,0,0,0,4.16,0.64,0,4.5,0,0,3.26,0,0,12.78,0,0,0,0,0,4.76,0,0,0,10,0,0.83,0,0,0,0,0,1.02,0,2.65,0.82,0
 96-106,0,0.63,0,6.83,0,0,21.98,0.68,3.01,0,0,3.34,20.78,0,0,1.97,0,0,11.94,0.83,1.42,0,13.01,0,0,0,0,9.43,0,0,0,0,2.52,0,0
108-118,0,0,0,7.7,0,7.28,18.82,0,3.38,2.2,0,0.43,24.65,1.35,0,0,1.39,0,32.84,0,0,3.32,18.52,0.99,0,1.09,2.11,4.15,1.29,0,0,2.07,12.35,0,0
120,0,0,1.28,12.31,1.38,1.71,7.35,0,0,6.68,0,0,49.4,2.99,0,0,0,0,28.2,0,0,2.41,1.77,3.25,0,3.45,7.25,3.81,1.22,0,0,0,16.74,0,0
