stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,15.77,164.59,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0
  5-6,6.56,75.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,0,0,0,0,0,9.87,0,28.35,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.65,0,0,9.87,0,0,0,0
 14-21,0,0,0,0.96,1.03,0,0,0,0,7.9,0.89,0,1.56,0,0.83,1.43,8.56
 24-34,0,0,0,0,0.85,1.84,0,0,0,5.89,0,0,0,0,0,0,3.24
 36-46,0,0,0.92,0,0,51.69,0,0,0.99,4.94,0,0,0,0,0,0,4.58
 48-58,0,0,0,0,0,119.03,0,0,0,15.11,0,0,0,2.25,0,0,1.75
 60-70,0,0,0,0,0,227.65,0,0,1.67,2.4,0,0,0,0,0,0,1.49
 72-82,0,0,0,0,0,182.87,0,0,0,24.38,0,0,0,0,0,0,5.75
 84-94,0,0,0.7,0,0,89.15,0.69,2.57,1.58,1.3,0,0,0,0,0,0,1.5
 96-106,0,0,0,0,0,96.85,0,0.68,0,4.01,0,0,0,0,0,0,5.3
108-118,0,0,0,0,0,127.15,0,2.22,0.55,15.51,0,1.01,0,1.41,0,0,0
120,0,0,0,0,0,115.86,0,0,1.63,5,0,0,0,0,0,0,0
