stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74,0,0,0,0,0
 14-21,1.3,755.31,0,0,0,0,1.26,1.75,0,0,0.92,0,0,0,0.84,10.87,0,0,0,0,1.19,3.6,27.28,0
 24-34,0,421.72,1.47,0,2.54,0,0,16.49,0,0,0,7.03,5.79,0,3.23,38.03,0,0,0,4.97,0.69,2.58,101.73,0
 36-46,0,49.07,7.01,0,0,0,0,9.36,0,0,0,0,0.63,0,0.62,26.71,2.71,0,0,0,0,0.74,29.75,0
 48-58,2.6,52.58,9.53,0,0,0,0,15.24,0,0,0,0,1.31,0,0.91,13.09,0,0.48,0,0,0,0.91,18.49,0
 60-70,0,68.55,24.64,0,9.54,0,0,9.58,2.85,0,0,0,23.65,0,1.39,5.48,0,0,0,0,0,0,13.74,0
 72-82,0,230.23,38.74,0,0,2.89,0,7.09,0,0,0,0,21.33,0,0,9.55,0,0,0,2.62,0,3.86,4.8,0
 84-94,0,213.84,20.28,0,2.52,0,0,24.22,0,0,0,0,25.33,0,0.66,27.29,0,0,0,0,0,0,6.81,0
 96-106,3.3,218.93,21.82,1.01,1.54,0,0,40.5,0,0.8,0,0,16.9,1.86,0,28.4,0,0,0,2.14,0,0,6.87,8.79
108-118,0,137.12,27.43,0,0,0.43,0,34.39,0,0,0,0,2.74,0,0,14.87,0,0,0,2.26,0,0,4.29,0
120,0,181.95,34.67,0,0,1.53,0,40.27,0,1.59,0,5.48,19.84,0,1.71,52.52,0,0,0,0,0,0,5.15,0
