stage,blastomeres,endocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,spinal_cord
  3-4,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.36,0,0,8.19,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.78,0,0,0,0
 14-21,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,1.86
 24-34,0,0,0,0,0,0,0,0,0,0,8.62,1.96,0,0,2.49
 36-46,0,0,0.63,0,0,0,0,0,0,0,6.12,0,0,0,0.78
 48-58,0,0,0.93,0,0.65,0,0,0,0,0,1.89,1.22,0.41,0,0
 60-70,0,0,0,1.46,0,0,0,0,0,0,3.71,0,0,0,0.57
 72-82,0,0.69,0,0,0,1.13,0,1,0,0.51,6.88,0,0,0,0
 84-94,0,0,0,0,0,0,0.97,0,13.42,0,4.69,0,0,0,0
 96-106,0,0,0,0,1.63,1.82,3.86,0,1.83,1.29,0,0,0,0,0
108-118,0,0,0,1.37,0,0,0,0,0,0,4.71,0,0.44,0,0
120,0,0,0,0,0,0,0,0,7.34,0,6.15,10.22,0,0,0
