stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.41,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0.89,0,0,0,33.33,0,0,0,0,0,1.08,0,30.13,0,0,0,7.31
 24-34,0,0,0,0,2.13,0,0,0,0,0.92,0,0,0,0,0,2.57,0,0,0,270.5,0,3.02,0,0,0,6.84,0,97.52,0,0,0,0
 36-46,0,0,0,0,15.01,0,0,0,2.14,0.58,0,0,0,0,0,0,0.58,0,0,826.8,0,1.09,0,0,3.11,9.56,0,202.69,0,0,0,0
 48-58,0,0,2.7,0,47.39,0,0,0,9.3,0,0,0,0,0,0,0,1.87,0,1.81,1263.97,5.29,2.86,1.22,0,0,10.08,0,218.32,0,0,0.54,0
 60-70,0,0,0,0,178.97,0,0,0,65.95,0,0,0,0,0,0,0,3.22,0,3.46,2141.72,0,0,0,0,4.6,6.73,0,362.02,0,0,0,4.38
 72-82,0.64,0,2.16,0.81,164.61,0,0,0,45.44,10.94,0,0,0,0,0,4.19,17.45,0,0,1787.99,0,4.21,0,0,0,14.65,0,172.45,1.21,0,0,0
 84-94,0,0,2.76,1.44,203.94,1.27,0,0,19.53,15.67,0,0,0,0,0,0,8.25,1.94,1.23,945.96,0,0,1.85,0,0.75,51.2,0.69,126.66,0,7.43,0,0
 96-106,0.61,0,16.32,5.49,115.71,0,1,0,23.16,90.48,1,1.47,0,0,0,0,24.42,0,2.04,937.76,0,0.92,0,0,3.73,57.37,0,56.87,0,0,0,0
108-118,0,0,16.13,0.6,97.68,0,0,0.5,14.59,100.8,0,0.49,0,0.71,1.4,0,5.87,0.45,0,882.31,0,1.54,0,2.63,5.83,39.73,0,43.58,0.54,3.84,1.29,0
120,0,0,30.07,4.28,107.15,0,0,0,1.21,69.03,0,0,0,0,0,0,0,0,0,1148.25,1.38,3.12,0,0,1.58,22.81,0,111.52,0,0,0,0
