stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,heart,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,34.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5,0,0,0,0,0,0,0,0,0,0,0,22.43,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.06,2,0,0,0,0,1.23,0.81,2.36,0,0,0
 24-34,0,0,0,4.25,0,0,0,0,0,0,2.55,0,0,0,0,0,0,1.77,0,0,0
 36-46,0,0,0,0,0.68,0,0,1.23,0,0,0.71,0,0,0,0,0,0,1.14,0,0,0
 48-58,0,0,0,0,0,0,0,0.43,0,4.22,4.16,0,0,0,0,0,0,0.82,0,0,0
 60-70,0,0,0,0,0.62,0,0.9,3.26,0,11.21,4.76,0,0,0,0.96,0,0,0,0,0,0
 72-82,0,0,0,0.63,2.46,0.64,0,9.73,1.14,6.73,2.09,0,0,0,1.12,0,0,0,2.22,1.24,6.66
 84-94,0,0,0.96,0,0.76,0.69,0,6.19,3.36,6.41,3.69,0,1.1,0,0,0,0,0,0,0,0
 96-106,0,0,1.06,0,1.42,0,0,8.43,1.02,6.24,9.7,0.58,0,0,0,0,0,0,0,0,0
108-118,0,0,1.33,0,0,0,0.69,10.33,1.62,9.89,3.83,0,1.16,0,1.05,0,0,0,3.75,0,0
120,0,0,0,0,0,0,0,9.11,0,2.82,6.17,0,0,0,0,0,0,0,0,0,0
