stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,16.25,0,11.77,25.53,0,4.31,0,1.25,1.79,0,0,0.91,12.34,131.12,102.68,0,0,560,8.08,5812.36,0,10.42,925.86,8.46,0,0
 24-34,0,0.59,0,0,0,0.63,1.98,0,0,0,0,2.59,0.64,13.27,9.7,0,0,0,0.73,9.73,2.15,0,438.83,3.85,0,0
 36-46,0,0,0,1.37,0,0,3.93,0,0,0,0,2.12,2.22,2.5,2.35,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,0,1.43,0,7.91,0.56,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.07,4.35,0,0,0,0,4.89,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.51,1,0.51,0,0,0,6.53,0,2.52,0,0.74,0,0,0,0,0,0,0,0,0.72,0
 84-94,0,0,0,0,0,0,0.91,3.29,0,0,0.64,3.86,2.09,0,0,0,0.97,0,0,0,0,0,0,1.39,0,0.93
 96-106,0,0,0.74,0,0,2.56,0,1.16,0.9,0,0,2.11,0,3.35,0,0,0.85,0,1.26,0,0,0,0,0,0,0
108-118,0,0,0,0,0.88,0,0,4.05,0.45,1.49,4.07,2.62,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.16,0,0,0,0,2.22,0,0,0,0,1.3,0,0,0,0,0,0,0
