stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,110.31,1268.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.29,0,0,0,0,0,0,0,0,0,0
  5-6,222.98,2458.6,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.7,25.73,0,0,32.01,0,28.26,0,0,0,0,0,0,0,0,0,0
  7-9,45.9,48.78,0,91.09,0,0,62.71,0,0,0,0,0,27.48,0,0,0,0,0,0,0,0,0,0,0,919.87,23.88,0,0,444.67,0,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,24.04,0,57.01,0,6.13,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.77,26.76,0,0,225.66,0,0,0,0,33.46,7.48,5.88,0,0,0,0,0
 14-21,0,0,0,2.53,37.63,7.41,18.53,0,0,0,16.23,2.28,0,0,0,1.18,0,0,0,0,25.82,0,0,11.36,260.29,3.08,1.55,0.84,6.21,0,0.8,0,16.28,3.62,19.27,73.59,0,0,2.33,0,0
 24-34,0,0,0,0,8.59,0.67,45.6,0,0,0.71,12.64,3.49,0,0,0,0.65,0,0.86,0,0.64,51.47,1.03,0,14.74,498.29,1.95,5,4.92,0,0.99,4.73,0,0,0,3.04,113.7,0,0,11.33,0,0.73
 36-46,0,0,1.35,0,0.57,0,109.11,0,0,0,33.66,0.62,0,0,0,0,0,0.95,0.57,0.66,42.5,0,2,12.35,377.54,0,3.91,6.68,0,0,2.66,0,0,0,0,98.73,0,0,1.3,0,7.14
 48-58,0,0,0,0,3.21,2.7,115.81,0,0,2,22.95,0,0,0,10.29,0,0.98,0,0,0.4,35.93,0,0.42,3.65,247.42,0.46,5.36,1.71,0,0,4.72,0,0,2.74,0,55.92,0,0,3.16,0,3.61
 60-70,0,0,0,0,13.97,0,158.73,0,1.15,0.84,47.18,1.27,0,0,0,0,0,0.72,1.41,2.19,46.29,0,4.16,5.1,159.62,0,6.56,2.43,0,0.71,0,0,0,1.12,0,23.35,0,0.69,0.93,0,0
 72-82,0,0,1.11,0,2.03,0.51,126.2,0,1.28,0.58,29.92,0,0,0.84,0,0,0.57,0,0,0,43.12,0.58,3.75,4.16,140.46,0,4.54,3.92,0,0,2.22,0,0,0.53,0,8.39,0.74,0,3.4,4.31,0
 84-94,0,0,0,1,3.27,1.65,73.66,0,0,0.74,25.73,1.95,0,3.44,0,1.11,0,2.66,0,0,20.63,3.42,0.65,9.02,136.61,0.63,0,1.41,0,0,9.49,0,0,0,0,15.36,0,0,5.48,0,0
 96-106,0,0,0,0,6.19,1.48,81.85,0,2.93,1.07,33.11,0,0,0,0,0.67,0,0.63,0,0,28.6,0.68,0.63,0.83,66.63,0,10.52,0.59,0,3.21,1.76,0,0,0,0,0.98,0,0,1.27,0,0
108-118,0,0,0,0,7.55,0,68.72,0.84,0,5.16,16.14,0.59,0,2.04,4.28,0,0.44,2.86,0,0,34.49,0,2.08,0.65,119.52,0.95,1.39,2.55,0,0,5.52,0,0,0,0,11.99,0,0,4.13,1.03,0
120,0,0,0,0,3.33,15.53,51.27,2.29,0,8.4,29.88,0,0,0,1.26,3.52,0,0,0,1.61,28.87,0,8.42,0,221.76,0,0,0,0,4.48,1.37,0,0,0,0,3.56,0,0,0,0,0
