stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0
 10-12,0,12.27,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.3,3.56,3.23,0,0,0,0,1.29,0,0,0,0.92,19.7,1.15,0,0.99,0,3.58,0,4.18,8.55,0,0
 24-34,0,0,0,0.79,0.7,0,0,1.36,0,0,0,2.62,1.03,55.41,0,0.67,0,0,0,0,1.37,6.43,0,0.77
 36-46,0,0,0,0,4.08,0,0,0,0,0,0,1.15,0,25.71,0,0,0,0,0,0,0,6.03,3.18,0
 48-58,0,0,0,0,8.09,0,0.72,0,0,0,0,4.18,0,21.18,1.01,0,0,0.4,0,0,0,5.08,0,0
 60-70,0,0,0,0,8.11,0,0,0,0,1.67,0,1.31,0,48.72,0,0,0,0,0,0,0,0,27.97,0
 72-82,0,0,0.69,2.12,3.53,0,0,0,0,0,0,2.78,1.01,13.23,0,0,0,0,0,0,0,2.19,7.54,0
 84-94,0,0,0,0,14.58,0,0,2.54,0,0,0,2.77,0.78,16.89,0,0,0,1.57,0,0,0,2.41,418.27,0
 96-106,0,0,0,0,18.54,0,0,1.76,0.63,0,5.87,8.58,0,11.72,0.77,1.16,0,0,0,0.92,0,4.91,393.29,0
108-118,0,0,4.92,1.52,34.11,2.59,0,2.76,0,0,0,4.15,0.51,25.17,0,0,0,0,0,0.43,0,0,293.34,0
120,0,0,11.44,0,6.03,0,0,0,0,0,0,0,0,21.19,0,0,0,0,0,0,0,0,442.81,0
