stage,blastomeres,epidermis,eye,glial,iridophores,neural,notochord,olfactory,otic,pronephros,somites,spinal.cord
  3-4,46.72,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,21.2,8.9,0,0,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,0,1,1.04,0
 24-34,0,0,0,0,0,4.01,0,0,0,0,0,0.84
 36-46,0,7.97,0,0.77,0,2.74,0,0,0,0,0,7.29
 48-58,0,0,6.82,0.95,0,8.55,0,0,0,0,0,0
 60-70,0,0,3.53,2.47,0,8.69,0,0,0,0,0,0
 72-82,0,0.51,1.15,7.28,0,1.46,0,0.74,1.25,0,0,0
 84-94,0,0,0,2.51,0,0.96,0,0,0,0,0,0
 96-106,0,0,8.31,6.79,0.74,0,0,0,0,0,0,0
108-118,0,0,3.21,9,0,8.94,0,0,0,0,0,0
120,0,0,0,12.35,0,31.22,0,0,0,0,0,0
