stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,219.82,19.89,16.37,0,0,3.64,2.94,0,0,2.66,0,0.94,12.41,0,14.15,456.75,0,1.7,14.81,32.28,62.61,66.86,5.99,14.33,111.24,122.67,0,15.36,0
 24-34,10.84,0,10.35,0,0,1.24,0.64,0,2.85,1.01,0,0,20.44,0,12.5,333.47,1.49,2.5,0,0,158.23,0,0,5.92,6.83,52.96,0,89.62,5.39
 36-46,0,0,0.94,0,0,1.06,0,0,1.54,0,0,1.22,10.05,0,0,58.55,0,0,0,0,76.14,0,0,0,0,25.41,0,36.18,0
 48-58,0,0,0.72,0,1.67,0.89,0,0.45,0,0,0,0,3.41,0,0,69.32,0,0,0,0,62.66,0,0,0,0,5.16,0,5.44,0
 60-70,0,0,0,0,0.93,0,7.15,0,4.97,0,0,0,0.7,0,5.81,9.6,0,0,0,0,8.82,0,0,0,0,0,0,2.16,0
 72-82,0.69,0,1.52,0,0.93,6.18,1.21,2.29,0.49,0,0,0,11.25,0,0,15.02,0,0,0,0,21.88,0,0,0,0,0,0,12.54,0
 84-94,0,0,1.12,0,0,0,0.97,0,5.85,0,1.49,0,5.89,0,0,13.18,0,0,0,0,22.37,0,0,0,0,0,1.13,23.25,0
 96-106,1.9,0,0.62,0,1.65,0,0,0.73,2.92,0,0,0,6.57,1.1,0,2.84,0,0,0,0,15.89,0,0,0,0,0,0,7.04,0
108-118,0.97,0,0,0.57,2.41,0,0,1.25,4.32,0,0,0,9.02,0,0,11.05,6.81,0,0,0,15.92,0,0,0,0,0,0,15.6,0
120,5.82,0,0,0,0,0,0,0,6.27,0,0,0,5.19,0,0,19.68,0,0,0,0,15.59,0,0,0,0,14.6,0,39.52,0
