stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste
  5-6,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,5.44,0,0,0,0,0
 24-34,0,0,1,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,4,0,0
 36-46,0,0,0,0,0,0,10.45,0,22.49,0,0,0,2.84,0,0,0,0,6.89,0,0
 48-58,0,0,0.91,0,8.85,0,14.16,0,3.8,0,0,0,8.73,0,0,0,0,9.05,0,0
 60-70,0,6.95,0,0,5.65,0.76,43.8,0,4.41,0,0,1.14,9.13,0,0,0,0,0.97,0,0
 72-82,0,21.56,1.33,0,4.52,2.13,69.89,0,2.26,2.93,1.28,0,4.73,1.06,0,0,0,3.09,0,0
 84-94,0,13.88,5.62,0,2.03,0.69,143.67,0,7.38,1.53,0,0,10.21,0,0,0,0,8.38,0,2.26
 96-106,0,24.8,9.09,3.22,0,0,126.94,0.83,4.53,2.08,0,0,24.46,0,0,0,0.76,13.07,0.67,1.13
108-118,0,11.7,9.8,0.85,5.82,1.7,147.69,0,14.61,1.85,0,0,19.32,0,0,0,0,11.57,0,0
120,0,15.95,0,0,5.12,0,146.33,0,25.92,2.77,0,0,5.29,0,0,6.64,0,11.32,0,0
