stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.46,71.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,59.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.97,0,0,5.59,0,0,0,5.18,0,0,0,3.88,0,0,0,0,0,0,0,0,0,51.89,4.4,0,42.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.79,0,0,9.05,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,1.12,0,0,1.27,16.26,0,0,0,0,2.08,0,0,2.47,0,0,0,0,0
 24-34,0,0,0.75,0,0,0,0,3.39,0,0,0,0,1.94,0,3.11,0,0,2.22,0,0,0,22.55,0,0,0,3.51,0,0,0,0,2.14,0,0,0,0
 36-46,0,0,0,0,0,0,0,9.07,0,0,0,0,1.33,0,0,0,0,3.36,0,0,0.69,28.09,0,0,0,0,0,0,0,0,1.97,0,0,1.77,0
 48-58,0,0,0,0,7.74,0,0,6.19,0,0.6,0,0,0,0,0,3.16,0,0.43,0,0,0,16.26,0.99,0,0,0,0,0,0,0,1.41,0,0,0.44,0
 60-70,0,0,0,0,0,0,0,148.15,1.64,1.37,0,0,0,0,0,0,0,7.67,0,0,0,27.73,0,0,0,0.9,0,0,0,0,2.66,0.61,0,0,0
 72-82,0,0,0,0,0.63,0,0,480.01,3.97,2.61,0.67,0,0,0,0.63,0,0,5.16,2.55,8.55,0,21.73,0,3.09,0,4.15,0,0,0,0,2.69,0,1.37,0,0
 84-94,0,0,0,0,1.25,0,2.35,506.08,0,0.82,0.97,0,0,0,0,0,2.31,0,0,1.08,0,3.75,0,4.37,0,3.11,0,1.35,1.43,0,0,0,0,0,0
 96-106,0,0,0,0,0.83,14.03,0,480.08,0,0,0.62,0,0,0.6,0,0,0,1.53,0,0,0.68,4.02,0,0,0,1.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,6.59,311.21,0,0.77,0,0,0,0,0.67,0.74,0,6.15,0,0,1.75,20.11,0,1.75,0,5.55,0,0,0,0,0,0,0,0,4.03
120,0,0,0,0,0,0,0,343.36,0,13.25,0,0,0,0,0,0,0,0,0,2.76,1.13,7.57,6.74,0,0,3.22,0,0,0,0,0,0,0,0,0
