stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.09,0,0,0,0,0,0,0,0,7.42,0,0,0,0,0,0,0.98,0,0,13.09,9.79,0,0,0,0,0,0,0,0,376.6,109.28,3.03,0,0,0,0,0
 24-34,0,0.62,0,0,6.82,226.18,0,0,0,0,10.89,0,0.89,0,0,0,0,1.84,0,0.91,28.81,123.15,0,1.63,0,0,0,17.93,1.03,0,214.91,121.82,36.16,0,0,5.76,0,1.98
 36-46,0,0.75,0.57,0,15.72,595.92,0.56,0,5.48,0,5.16,4.27,0,0,0,0,0,8.07,0,0,34.36,193.97,0,0,0.65,0,0,2.38,0,0,170.05,9.63,41.86,0,0,0,0,7.38
 48-58,0,0.38,1.76,0,72.29,464.95,2.85,0,16.67,0,0.89,0.79,0,0.54,0.65,0,0,23.29,0,3.11,36.33,141.05,0,0.48,0.39,0,0,0.5,0,0,132.57,0,38.24,0,0,0.91,0,9.27
 60-70,0,6.5,0,0,40.41,306.45,3.81,0.76,19.86,0,0,6.95,0,1.29,0,2.19,0,28.33,0,0.78,37.67,140.7,0,0,0,0.81,0,8.34,0,0,115.57,0,16.01,0,1.53,7.14,1.43,5.16
 72-82,0,2.34,11.03,0,74.13,238.69,0,0.89,12.61,0,0.49,0.93,0,6.82,0,0,0,28.96,0,0.96,16.49,134.84,0,1.11,1.07,0,0,1.63,0,0,77.89,0,3.56,0,2.86,0,19.36,0.78
 84-94,1.55,5.23,15.04,0,89.66,365.18,0,2.35,10.73,0.64,1.43,2.44,0,0.66,0,0.68,4.27,21.14,1.18,7.46,21.78,103.48,0.62,0,1.54,0,0,18.84,0,0,170.71,0,13.49,0,1.03,1.2,30.51,0
 96-106,1.04,8.97,28.38,6.8,137.82,586.08,2.64,0,15.5,4.72,0.72,2.72,0.67,4.13,0,3.33,2.16,57.08,0,11.16,29.97,200.88,0,2.27,0.65,1.2,0,18.31,0,0,195.06,0,17.6,5.04,0,1.25,21.23,19.66
108-118,0,6.27,5.31,1.48,60.88,471.16,0.86,0.8,20.82,0,2.18,3.16,1.79,3.66,1.39,9.9,0,29.31,0.7,5.22,51.62,123.48,0,0,5.23,0,2.84,10.68,0,0.43,197.39,0,4.34,0,1.37,9.11,8.93,0
120,0,0,0,0,24.62,280.42,0,0,11.79,0,4.47,9.07,0,4.74,0,1.23,10.94,51.65,0,2.21,49.34,91.99,0,6.58,0,0,0,4.75,4.48,0,71.81,0,0,0,0,0,19.41,0
