stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.84,0,0,0,0,0,0,0,0,0
  5-6,43.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,18.47,0,0,0,0,0,0,0,0,0,0,0,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.76,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.33,0,1.23,0,3.18,0,0,0,1.2,2.13,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,2.02,1.09,0,0,3.67,0.84,1.45,1.78,7.35,0,0,0,0,0
 24-34,0,0,0,0,0,8.77,0,0,0,3.14,0,0,1.36,5.33,0.62,0,3.58,0,0,0,0.91,0,0,19.09,0,13.21,1,0,0,0.75,0,3.88,0,7.7,0,0,1.51,0,0
 36-46,0,0,0,0,0,765.24,0,0,0,5.87,0.59,0,0,1.27,0,0,3.92,0.85,0,1.78,0,0.55,1.53,54.99,0,3.67,0.83,0,0,2.86,0,1.34,0,7.78,0,0,0,0,6.73
 48-58,0,0.59,7.68,0,0,2956.49,0,0,1.39,39.07,0,0,0.53,11.06,0,0,0.88,0,0,9.53,0.41,0,2.08,176.43,3.68,3.01,0,0,1.2,9.7,0,0.93,0,15.96,0,0,1.41,0,1.08
 60-70,0,0,1.13,0,0,3134.69,0,0,0,1.94,0,0,1.4,12.28,5.07,0,0,0,6.38,9.27,0,0,1.24,170.89,0,3.19,0,0,0.71,6.12,0,0,0,28.1,3.21,0,6.72,0,7.68
 72-82,0,0,5.25,4.96,0,1207.97,0.55,0,0,11.48,1.1,0,0.7,5.56,0.63,0,3.15,0,0,15.94,0,1.11,0.66,74.45,0,1.09,1.86,0,1.1,1.1,0,0.49,0,4.88,2.76,1.81,7.25,0,7
 84-94,0,3.33,3.2,3.22,0,1068.91,0.76,0,1.21,12.24,5.01,0,0,12,1.14,2.48,1.32,0,0,14.92,0,4.14,1.74,72.93,0,7.89,0,0,0,7.02,0,1.29,0,5.84,4.11,0,1.47,0,2.44
 96-106,0,2.45,0.7,11.44,0,591.79,0,0,0,7.64,0.57,0,3.5,25.18,0,0,2.62,0,0,7.76,0,1.53,1.67,80.81,0,6.81,0,0,0,15.06,0,2.41,0,3.52,7.07,1.65,1.66,0,0
108-118,0,4.97,4.57,0.42,1.38,655.76,0,0,0,2.33,1.24,0,0,23.65,0.43,0,0.43,0.97,0,8.38,0,0,0,111.3,0,4.68,0,0,0,2.79,0,1.77,0,1.92,7.98,0,1.56,1.11,0
120,0,0,5.95,0,0,462.32,0,2.41,0,0,0,0,0,17.76,0,0,5.46,0,0,16.41,0,0,0,113.56,0,0,2.92,0,0,0,0,2.76,0,0,4.22,0,7.36,0,0
