stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,15.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.87,0,0,0,14.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.4,9.79,0,0,27.35,0,0,5.47,0,10.82,0,0,0,0,0,0,0
 14-21,0,0,2.12,7.63,153.01,5.24,0,7.73,0,0,8.29,0,0,2.38,12.59,0,0,0,0,1.34,0,0,3.46,23.89,0.92,1.84,49.8,0,0,8.88,0,0.83,4.53,0,1.01,11.72,0,0,0,0
 24-34,0,0,0,2.68,50.24,0,0,0.7,2.08,0,5.33,0,0,0,28.99,0,2.44,0,0,0.94,3.27,0,0,52.89,0,0.69,46.67,0,0,1.47,0,0,7.33,0,0,1.84,0,0,0,0
 36-46,0,0,0,1.33,9.38,0,0,0.85,7.84,0,3.58,0,0,0,18.6,0,1.29,1.62,0,9.2,0.56,0,0.64,25.22,0,1.57,40.63,0,0,0,0.81,0,18.04,0,0,1.92,0,7.41,0,0
 48-58,0,0,0,0,15.36,0,0,3.66,4.5,1.41,0.93,0,0.44,0,7.09,0,2.85,10.85,0,4.89,2.36,0.57,0,25.61,0,0.86,30.98,0,0,1.33,0,0,4.34,0,0,0.45,0,2.84,0,0
 60-70,0,0,0.65,0.68,10.11,0,0,14.15,0,0,5.45,2.38,0,4.69,0.72,0,7.74,17.84,0,7.48,2.84,0,0,9.64,2.92,1.17,40.95,0,0,0,0,0,8.3,0,0,1.9,0.61,2.44,0,0
 72-82,0,0,10.05,4.07,9.77,0.56,0,4.29,1.11,4.7,10.26,0.5,1.02,0.59,5.89,0,1.09,22.3,0,25.42,4.62,0.81,0,37.57,0,0.49,62.22,0,0,0.63,0,0,21.72,0,0,5.15,2.11,12.02,0,3.44
 84-94,0,0,6.04,3.56,24.05,0,0,2.89,1.42,4.59,29.57,0.66,0,0.67,12.28,0,0,84.69,0,22.49,1.22,0,2.73,16.31,0,4.66,87.7,0,0,0,0,0,53,0,0,0,0,1.76,0,0
 96-106,0,0,20.26,1.36,17.53,0.72,2.07,29.1,0,8.05,14.13,1.06,0,1.37,14.74,0,1.87,94.07,0,8.29,0.74,0,1.15,22.63,0,12.32,117.49,0,0,4.82,3.82,0,27.69,0,0,2.99,7.06,6.2,1.22,0
108-118,0,0,7.43,5.93,33.4,1.31,0.43,11.56,0.52,3.79,27.84,0,0,1.32,19.11,0.44,2.66,199.18,1.12,13.23,0.42,0,13.44,40.13,0.5,2.62,113.35,0,0,4.12,0,0,39.06,0.43,0,0.71,8.33,8.42,0,0
120,1.12,0,11.9,0,12.56,0,0,6.44,1.13,0,21.86,0,0,1.3,9.94,0,7.26,161.02,0,10.76,1.13,0,19.15,38.28,0,0,85.11,0,17.18,0,0,0,31.4,0,0,14.45,1.12,11.7,0,0
