stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,74.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,0,0,0
  5-6,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.23,0,0,0,0,0,0,0,4.44,4.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.96,0,0,0,0,0,0,0,0,0,0,0,0,58.49,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,13.06,0,0,0,1.11,0,3.13,0,0.81,0,0.88,0,0,0.87,4.25,0.97,0,0,0,0,0,5.09,0,0,0,0
 24-34,0,9.53,0.81,0.71,0,0,0,0,0,0.62,0,7.11,0,0,3.14,7.16,1.53,0,0,0,3.41,0.86,0.94,0,0,0.61,0
 36-46,0,17.11,0,5.92,0.78,0,0,0,0,0,0,2.1,0,0,1.74,11.36,0,0,0.64,0,0,0,2.41,0,0,0,0
 48-58,0,2.36,1.37,1.09,0,0.59,0,0,0,0,0,3.94,0,0,1.89,7.7,0,0,0.37,0,8.68,0,1.11,0,0,0,0
 60-70,0,12.47,0,1.38,0,1.17,1.76,0,0,10.83,0.59,23.21,2.15,0,1.71,18.79,1,0,0,0,0,0,1.26,0,0,0,0
 72-82,0,5.35,0.65,1.57,0,9.19,0,0,0,0,0.99,6.81,0,4.8,0.58,12.29,0.5,0,0,1.67,0,0,5.48,0,0.53,0,0.49
 84-94,0,13.62,1.82,3.26,0,2.96,1.43,0,0.78,0,0,21.58,6.43,1.44,0,17.02,0,0.61,0.59,0,1.7,0,0,0,1.64,0,0.57
 96-106,0,12.68,5.99,2.32,0,3.68,0,0,0,0.81,0,16.5,0,3.15,1.06,2.51,0,0,0,0,0.96,0,0,0.8,0,0,1.5
108-118,0,16.09,1.28,5.6,0,3.73,0.65,0,0,0,0,17.54,0,0.45,1.04,5.79,1.26,0,6.12,0.91,4.25,0,0,0,7.48,0.71,3.35
120,0,14.69,0,12.79,0,12.38,0,0,0,0,0,18.64,0,0,1.41,17.59,5.12,0,2.51,0,7.39,0,0,1.99,0,0,2.94
