stage,axial,blastomeres,eye,glial,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,119.01,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.33,44.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.46,0,0,0,0,32.27,22.72,0,0,0,0
 10-12,0,0,0,0,0,0,0,26.61,11.24,0,0,0,0
 14-21,0,0,0,0,0,0,0.81,3.72,0,1.57,1.33,2.43,0.98
 24-34,0,0,0,1.67,0,0.67,0,11.34,0,0,0.66,0,0
 36-46,0,0,0,0,0,1.26,0,0,0,0,0,1.36,6.8
 48-58,0,0,0,0,0,1.18,0.48,0.77,0,0,0,0,0
 60-70,0,0,0,0,0,1.66,0,0.88,0,0,0,0,0
 72-82,0,0,0,0,0,7.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.04,0,0.98,0,0,0,0,1.82
108-118,0,0,0,0,1.26,3.12,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,6.48
