stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83,0,0,33.47,0,0,0,0,0,0,0,0,0,0
 10-12,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.21,0,0,272.98,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,3.1,0,3.73,28.68,0,0,5.37,0,0,52.33,0,11.87,10.31,0,0,0,0
 24-34,0,0,0,0,0,2.96,0,0,0,0.6,0,0,0,1.17,0,0,3.68,0.69,6.7,30.53,0,0,0,0,0,0,0,2.5,10.51,0,0,0,0
 36-46,0,0,0,0,0,1.87,0,0,0,3.58,0,0,0,0,0,0,11.28,0,2.86,51.2,0,0,0,0,0,0,0.59,0,6.71,0,0,0,0
 48-58,0,0,0,0,0,4.96,0,0,4.42,15.94,0,0.59,0,0,0,0,52.53,0,12.48,18.66,0,0,0,0,0,0,0,0,9.95,0,0,0,0
 60-70,0,0,1.52,0,0,4.27,0,0,3.6,6.64,0,2.87,0,0,0,0,281.05,3.31,24.98,28.76,0,0,0,0,0,0,0,0,1.98,0.7,2.98,0,0
 72-82,0,0.56,9.07,6.51,0,34.51,0,0,48.47,16.47,0,0.55,0,0,0,0,1103.32,13.21,23.47,36.48,0,1.13,0,1.53,0,0,0,0,1.28,0.49,0,1.24,0
 84-94,0,0,6.49,0,0,68.25,2.68,2.61,28.95,7.21,0.79,3.37,2,1.25,1.45,1.81,1062.59,4.28,10.16,20.68,0,0,0,0,0.72,0,0.64,0,0,0,0,0,0
 96-106,0,0,4.76,2,0,40.7,8.87,0,45.15,9.84,0.56,3.13,7.41,0,0,0,1213.03,11.6,51.15,60.36,6.28,0,0,0,2.89,0,0,0,0.84,1.15,1.23,0,1.22
108-118,0,0,7.92,0,1.93,11.61,0,1.13,53.96,23.44,0,1.03,0,2.2,0,0,1704.69,28.57,29.47,70.89,0,0,0,0,0,0,0,0,0,6.72,1.03,0,0
120,0,0,17.12,3.27,2.68,33.93,0,0,31.84,18.21,0,3.44,0,0,0,4.16,1298.32,44.15,21.66,47.16,0,0,0,0,0,0,0,0,0,9.46,0,9.56,0
